first;empatica_0;empatica_1;empatica_2;empatica_3;hrmpo_0;hrmpo_1;hrmpo_2;hrmpo_3
1;3;15.6;28;4;0;-1;0;0
2;0;21;15.5;15;0;3;1.5;2
3;3.6;2.5;21;23.5;1.5;1.7;2;1.7
4;2;22.4;28.5;22.3;1;2.2;1.45;2.5
5;0.7;24.3;1;0.5;1;1.2;1;0.4
6;1;21.2;18.75;17.02;4.2;3.65;4.5;4.4
7;2.35;21.38;2.1;21.3;1.52;0.75;1.2;0.5
8;1.3;35.05;21;15.6;1.1;1.9;1.7;1.13
9;2.47;14.26;13.1;16.62;1.82;1.14;1.53;2.08
10;2.2;27.68;25.2;24.49;1.7;1.32;1.44;1.97
11;3.35;16.83;3.45;14.6;1.71;1.1;1.67;2.1
12;2.03;1.05;20.92;10.27;0.3;0;0;0.72
13;0;0;0;0;0;0;0;0
14;1.33;14.78;26.395;9.34;0.43;0.4;0.085;0.58
