timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
16:30:19.975304,0,111613,12530,9258,122688,106628,106697,0.336,-0.904,0.170,60.0,0.0,0,0.0
16:30:19.979251,1,118256,12440,9214,138334,237347,237396,0.280,-1.009,0.214,60.0,0.0,0,0.0
16:30:19.984173,2,132890,12486,9217,155303,368438,368570,0.229,-0.990,0.230,60.0,0.0,0,0.0
16:30:19.988500,3,145524,12434,9220,170270,493533,493699,0.176,-1.045,0.267,60.0,0.0,0,0.0
16:30:19.991175,4,152013,12445,9212,177823,524031,524031,0.139,-1.036,0.206,60.0,0.0,0,0.0
16:30:19.995096,5,155610,12460,9238,182159,524031,524031,0.152,-1.002,0.210,60.0,0.0,0,0.0
16:30:19.997870,6,159224,12469,9247,186470,524031,524031,0.123,-0.971,0.364,60.0,0.0,0,0.0
16:30:20.000576,7,159945,12446,9268,187549,524031,524031,0.114,-0.957,0.482,60.0,0.0,0,0.0
16:30:20.171114,8,160747,12452,9290,188876,524031,524031,-0.015,-0.949,0.498,60.0,0.0,0,0.0
16:30:20.174280,9,160799,12522,9381,189264,524031,524031,-0.015,-0.984,0.222,60.0,0.0,0,0.0
16:30:20.177361,10,161366,12548,9381,189679,524031,524031,-0.025,-0.779,0.254,60.0,0.0,0,0.0
16:30:20.180869,11,161863,12602,9392,189642,524031,524031,-0.076,-0.804,0.475,60.0,0.0,0,0.0
16:30:20.184490,12,162165,25460,18731,189607,524031,524031,-0.120,-0.849,0.408,60.0,0.0,0,0.0
16:30:20.371439,13,162713,25525,18800,190202,524031,524031,-0.107,-1.013,0.340,60.0,0.0,0,0.0
16:30:20.374587,14,162977,25484,18716,190648,524031,524031,-0.153,-0.991,0.415,60.0,0.0,0,0.0
16:30:20.378841,15,162672,25419,18652,190759,524031,524031,-0.146,-0.876,0.366,60.0,0.0,0,0.0
16:30:20.381548,16,162067,25408,18674,190519,524031,524031,-0.168,-0.941,0.206,60.0,0.0,0,0.0
16:30:20.384341,17,161411,25448,18679,190114,524031,524031,-0.200,-0.972,0.183,60.0,0.0,0,0.0
16:30:20.571175,18,160925,25446,18704,189866,524031,524031,-0.176,-0.991,0.282,60.0,0.0,0,0.0
16:30:20.576338,19,160336,25439,18672,189268,524031,524031,-0.197,-0.999,0.345,60.0,0.0,0,0.0
16:30:20.580554,20,159604,25462,18654,188564,524031,524031,-0.213,-0.996,0.340,60.0,0.0,0,0.0
16:30:20.585601,21,158948,25391,18619,188003,524031,524031,-0.211,-0.947,0.271,60.0,0.0,0,0.0
16:30:20.590324,22,158444,25300,18477,187528,524031,524031,-0.192,-1.003,0.263,60.0,0.0,0,0.0
16:30:20.770768,23,157968,25312,18446,187042,524031,524031,-0.220,-1.015,0.166,60.0,0.0,0,0.0
16:30:20.774933,24,157627,49741,36230,186907,524031,524031,-0.251,-0.925,0.195,60.0,0.0,0,0.0
16:30:20.777545,25,157330,49656,36176,186786,524031,524031,-0.246,-0.955,0.212,60.0,0.0,0,0.0
16:30:20.784760,26,156928,49678,36186,186369,524031,524031,-0.227,-1.038,0.155,60.0,0.0,0,0.0
16:30:20.787580,27,156598,49728,36243,186147,524031,524031,-0.199,-1.011,0.163,60.0,0.0,0,0.0
16:30:20.970725,28,156262,49666,36219,185694,524031,524031,-0.174,-0.936,0.296,60.0,0.0,0,0.0
16:30:20.973515,29,155938,49680,36251,185370,524031,524031,-0.142,-0.953,0.217,60.0,0.0,0,0.0
16:30:20.976232,30,155805,49659,36245,185367,524031,524031,-0.135,-0.957,0.169,60.0,0.0,0,0.0
16:30:20.979607,31,155712,49599,36178,185152,524031,524031,-0.095,-0.921,0.234,60.0,0.0,0,0.0
16:30:20.983075,32,155569,49472,36140,184756,524031,524031,-0.080,-0.982,0.237,60.0,0.0,0,0.0
16:30:21.169805,33,155539,49420,36076,184559,524031,524031,-0.018,-0.982,0.285,60.0,0.0,0,0.0
16:30:21.172654,34,155586,49314,36071,184438,524031,524031,0.057,-0.949,0.272,60.0,0.0,0,0.0
16:30:21.176190,35,155585,49227,36025,184402,524031,524031,0.113,-1.017,0.309,60.0,0.0,0,0.0
16:30:21.179804,36,155580,50338,36911,184247,524031,524031,0.209,-1.051,0.321,60.0,0.0,0,0.0
16:30:21.182708,37,155417,50255,36848,183891,524031,524031,0.221,-1.127,0.277,60.0,0.0,0,0.0
16:30:21.370140,38,155334,50120,36762,183622,524031,524031,0.240,-1.007,0.352,60.0,0.0,0,0.0
16:30:21.373290,39,155287,50007,36706,183298,524031,524031,0.185,-0.973,0.375,60.0,0.0,0,0.0
16:30:21.376792,40,155195,50064,36696,183102,524031,524031,0.177,-1.018,0.303,60.0,0.0,0,0.0
16:30:21.379648,41,155175,50122,36748,183146,524031,524031,0.219,-1.009,0.285,60.0,0.0,0,0.0
16:30:21.382682,42,155173,50050,36747,183249,524031,524031,0.206,-0.850,0.292,60.0,0.0,0,0.0
16:30:21.569996,43,155164,50135,36801,183525,524031,524031,0.224,-0.928,0.265,60.0,0.0,0,0.0
16:30:21.574401,44,155176,50590,37126,183833,524031,524031,0.237,-0.819,0.219,60.0,0.0,0,0.0
