timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
16:17:10.908935,0,122735,15803,13914,137656,106598,106655,-0.328,-0.487,0.810,60.0,0.0,0,0.0
16:17:10.913482,1,138574,15785,13919,181760,237330,237400,-0.329,-0.486,0.803,60.0,0.0,0,0.0
16:17:10.921500,2,145465,15805,13910,190648,368489,368577,-0.326,-0.487,0.810,60.0,0.0,0,0.0
16:17:10.927158,3,152549,15792,13912,199828,493607,493647,-0.328,-0.489,0.808,60.0,0.0,0,0.0
16:17:10.933932,4,157741,15785,13920,206650,524159,524159,-0.330,-0.489,0.803,60.0,0.0,0,0.0
16:17:10.939307,5,159223,15783,13912,208590,524159,524159,-0.328,-0.488,0.807,60.0,0.0,0,0.0
16:17:10.945180,6,161015,15749,13906,210893,524159,524159,-0.326,-0.487,0.808,60.0,0.0,0,0.0
16:17:10.948137,7,160897,15779,13920,210722,524159,524159,-0.325,-0.489,0.810,60.0,0.0,0,0.0
16:17:11.106931,8,160864,15749,13914,210656,524159,524159,-0.330,-0.488,0.807,60.0,0.0,0,0.0
16:17:11.110571,9,160845,15771,13897,210605,524159,524159,-0.326,-0.488,0.805,60.0,0.0,0,0.0
16:17:11.113809,10,160811,15762,13899,210549,524159,524159,-0.326,-0.489,0.808,60.0,0.0,0,0.0
16:17:11.119728,11,160836,15747,13906,210559,524159,524159,-0.329,-0.487,0.811,60.0,0.0,0,0.0
16:17:11.121820,12,160834,31601,27464,210575,524159,524159,-0.327,-0.489,0.806,60.0,0.0,0,0.0
16:17:11.305393,13,160889,31608,27474,210678,524159,524159,-0.328,-0.488,0.805,60.0,0.0,0,0.0
16:17:11.308587,14,160981,31605,27482,210831,524159,524159,-0.327,-0.488,0.811,60.0,0.0,0,0.0
16:17:11.311377,15,161064,31599,27481,210983,524159,524159,-0.329,-0.489,0.806,60.0,0.0,0,0.0
16:17:11.315997,16,161176,31604,27486,211179,524159,524159,-0.326,-0.489,0.808,60.0,0.0,0,0.0
16:17:11.318859,17,161290,31621,27489,211380,524159,524159,-0.329,-0.488,0.806,60.0,0.0,0,0.0
16:17:11.503366,18,161434,31620,27481,211620,524159,524159,-0.328,-0.489,0.809,60.0,0.0,0,0.0
16:17:11.506452,19,161547,31623,27512,211827,524159,524159,-0.328,-0.489,0.808,60.0,0.0,0,0.0
16:17:11.511251,20,161697,31615,27491,212080,524159,524159,-0.329,-0.488,0.810,60.0,0.0,0,0.0
16:17:11.514345,21,161845,31638,27497,212353,524159,524159,-0.325,-0.490,0.806,60.0,0.0,0,0.0
16:17:11.516749,22,161986,31621,27508,212631,524159,524159,-0.331,-0.488,0.811,60.0,0.0,0,0.0
16:17:11.703891,23,162124,31621,27505,212879,524159,524159,-0.329,-0.488,0.807,60.0,0.0,0,0.0
16:17:11.706656,24,162052,60947,54081,212773,524159,524159,-0.325,-0.489,0.807,60.0,0.0,0,0.0
16:17:11.712648,25,161796,62085,54074,212393,524159,524159,-0.329,-0.490,0.803,60.0,0.0,0,0.0
16:17:11.716588,26,161554,62061,54044,212041,524159,524159,-0.326,-0.489,0.805,60.0,0.0,0,0.0
16:17:11.722628,27,161421,62009,54046,211852,524159,524159,-0.326,-0.488,0.808,60.0,0.0,0,0.0
16:17:11.908893,28,161316,62001,54021,211686,524159,524159,-0.326,-0.490,0.809,60.0,0.0,0,0.0
16:17:11.912406,29,161285,61984,54026,211621,524159,524159,-0.329,-0.489,0.805,60.0,0.0,0,0.0
16:17:11.918202,30,161286,61965,54040,211615,524159,524159,-0.329,-0.488,0.805,60.0,0.0,0,0.0
16:17:11.921181,31,161253,61960,54026,211573,524159,524159,-0.325,-0.489,0.806,60.0,0.0,0,0.0
16:17:11.923954,32,161243,61964,54020,211535,524159,524159,-0.326,-0.489,0.810,60.0,0.0,0,0.0
16:17:12.106745,33,161262,61957,54043,211536,524159,524159,-0.325,-0.488,0.803,60.0,0.0,0,0.0
16:17:12.109767,34,161309,61950,54041,211602,524159,524159,-0.327,-0.488,0.804,60.0,0.0,0,0.0
16:17:12.112729,35,161379,61934,54029,211694,524159,524159,-0.329,-0.489,0.809,60.0,0.0,0,0.0
16:17:12.118551,36,161480,63609,55498,211858,524159,524159,-0.327,-0.488,0.807,60.0,0.0,0,0.0
16:17:12.121252,37,161600,63583,55493,212036,524159,524159,-0.327,-0.489,0.807,60.0,0.0,0,0.0
16:17:12.305291,38,161726,63578,55492,212231,524159,524159,-0.325,-0.488,0.807,60.0,0.0,0,0.0
16:17:12.308798,39,161836,63586,55519,212401,524159,524159,-0.328,-0.489,0.805,60.0,0.0,0,0.0
16:17:12.315093,40,161996,63591,55493,212642,524159,524159,-0.326,-0.489,0.807,60.0,0.0,0,0.0
16:17:12.318975,41,162140,63612,55520,212861,524159,524159,-0.331,-0.488,0.810,60.0,0.0,0,0.0
16:17:12.321355,42,162291,63603,55531,213099,524159,524159,-0.323,-0.490,0.806,60.0,0.0,0,0.0
16:17:12.507324,43,162418,63607,55516,213315,524159,524159,-0.328,-0.489,0.812,60.0,0.0,0,0.0
16:17:12.513807,44,162571,63617,55537,213553,524159,524159,-0.330,-0.488,0.809,60.0,0.0,0,0.0
16:17:12.518115,45,162516,63608,55520,213463,524159,524159,-0.323,-0.488,0.805,60.0,0.0,0,0.0
16:17:12.523157,46,162312,63567,55514,213110,524159,524159,-0.325,-0.490,0.807,60.0,0.0,0,0.0
16:17:12.526017,47,162071,63557,55483,212717,524159,524159,-0.327,-0.488,0.806,60.0,0.0,0,0.0
16:17:12.709335,48,161915,63527,55478,212464,524159,524159,-0.324,-0.486,0.806,60.0,0.0,0,0.0
16:17:12.713721,49,161830,63495,55456,212279,524159,524159,-0.327,-0.486,0.806,60.0,0.0,0,0.0
16:17:12.719671,50,161758,63504,55480,212135,524159,524159,-0.325,-0.485,0.807,60.0,0.0,0,0.0
16:17:12.722081,51,161759,63500,55465,212070,524159,524159,-0.330,-0.487,0.808,60.0,0.0,0,0.0
16:17:12.725395,52,161761,63485,55484,212016,524159,524159,-0.325,-0.488,0.810,60.0,0.0,0,0.0
16:17:12.907566,53,161755,63499,55455,211956,524159,524159,-0.329,-0.486,0.807,60.0,0.0,0,0.0
16:17:12.910518,54,161778,63485,55471,211947,524159,524159,-0.328,-0.487,0.809,60.0,0.0,0,0.0
16:17:12.913324,55,161830,63486,55477,211990,524159,524159,-0.329,-0.487,0.804,60.0,0.0,0,0.0
16:17:12.918219,56,161899,63472,55445,212077,524159,524159,-0.328,-0.488,0.809,60.0,0.0,0,0.0
16:17:12.921104,57,162005,63496,55444,212217,524159,524159,-0.327,-0.487,0.809,60.0,0.0,0,0.0
16:17:13.107006,58,162098,63498,55466,212354,524159,524159,-0.327,-0.488,0.807,60.0,0.0,0,0.0
16:17:13.110714,59,162258,63519,55474,212573,524159,524159,-0.327,-0.489,0.810,60.0,0.0,0,0.0
