timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
17:08:04.315967,0,140268,16678,12791,139440,106613,106666,0.166,-0.820,0.397,60.0,0.0,0,0.0
17:08:04.320282,1,271378,16704,12849,264001,237327,237371,0.133,-0.986,0.279,60.0,0.0,0,0.0
17:08:04.324251,2,273968,16746,12850,243248,368489,368564,0.188,-1.061,0.239,60.0,0.0,0,0.0
17:08:04.327745,3,224506,16793,12932,202720,493582,493571,0.196,-1.055,0.294,60.0,0.0,0,0.0
17:08:04.331917,4,192866,16742,12932,170517,524031,524031,0.285,-1.040,0.248,60.0,0.0,0,0.0
17:08:04.337953,5,177079,16747,12915,157864,524031,524031,0.353,-0.998,0.222,60.0,0.0,0,0.0
17:08:04.341025,6,171438,16716,12934,153055,524031,524031,0.264,-0.909,0.286,60.0,0.0,0,0.0
17:08:04.343845,7,170937,16683,12932,152846,524031,524031,0.209,-0.908,0.238,60.0,0.0,0,0.0
17:08:04.513052,8,170594,16673,12904,152737,524031,524031,0.178,-0.898,0.230,60.0,0.0,0,0.0
17:08:04.517193,9,170383,16664,12914,152720,524031,524031,0.216,-0.883,0.305,60.0,0.0,0,0.0
17:08:04.520226,10,170189,16644,12920,152755,524031,524031,0.314,-0.886,0.297,60.0,0.0,0,0.0
17:08:04.523067,11,170086,16659,12899,152865,524031,524031,0.386,-0.860,0.321,60.0,0.0,0,0.0
17:08:04.525331,12,169900,33412,25467,152936,524031,524031,0.385,-0.935,0.353,60.0,0.0,0,0.0
17:08:04.714640,13,169812,33323,25451,153089,524031,524031,0.302,-0.899,0.329,60.0,0.0,0,0.0
17:08:04.719178,14,169673,33210,25400,153120,524031,524031,0.371,-1.002,0.384,60.0,0.0,0,0.0
17:08:04.722304,15,169609,33157,25346,153126,524031,524031,0.398,-0.950,0.273,60.0,0.0,0,0.0
17:08:04.725857,16,169646,33101,25371,153246,524031,524031,0.424,-0.878,0.406,60.0,0.0,0,0.0
17:08:04.728116,17,169733,33117,25357,153422,524031,524031,0.461,-0.827,0.376,60.0,0.0,0,0.0
17:08:04.914195,18,169869,33061,25320,153548,524031,524031,0.294,-0.979,0.298,60.0,0.0,0,0.0
17:08:04.917784,19,169852,33030,25312,153486,524031,524031,0.389,-0.851,0.335,60.0,0.0,0,0.0
17:08:04.920185,20,169667,33037,25320,153381,524031,524031,0.478,-0.784,0.367,60.0,0.0,0,0.0
17:08:04.923066,21,169489,33032,25351,153360,524031,524031,0.428,-0.776,0.352,60.0,0.0,0,0.0
17:08:04.925529,22,169371,33033,25370,153428,524031,524031,0.380,-0.863,0.319,60.0,0.0,0,0.0
17:08:05.114215,23,169252,33058,25382,153508,524031,524031,0.449,-0.783,0.357,60.0,0.0,0,0.0
17:08:05.116954,24,169090,63387,50010,153586,524031,524031,0.474,-0.773,0.349,60.0,0.0,0,0.0
17:08:05.120193,25,168983,65341,50118,153745,524031,524031,0.474,-0.838,0.358,60.0,0.0,0,0.0
17:08:05.123338,26,168849,65204,50071,153785,524031,524031,0.476,-1.051,0.343,60.0,0.0,0,0.0
17:08:05.126862,27,168741,65156,50047,153717,524031,524031,0.496,-0.933,0.257,60.0,0.0,0,0.0
17:08:05.314261,28,168661,65278,50232,153830,524031,524031,0.494,-0.882,0.419,60.0,0.0,0,0.0
17:08:05.318712,29,168511,65254,50313,153938,524031,524031,0.468,-0.779,0.377,60.0,0.0,0,0.0
17:08:05.322006,30,168322,65397,50430,154057,524031,524031,0.509,-0.745,0.282,60.0,0.0,0,0.0
17:08:05.325911,31,168202,65359,50386,154226,524031,524031,0.444,-0.783,0.280,60.0,0.0,0,0.0
17:08:05.330431,32,168220,65247,50331,154382,524031,524031,0.434,-0.829,0.295,60.0,0.0,0,0.0
