timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
17:14:29.811949,0,140261,16118,12726,139458,106640,106684,0.519,-0.957,0.331,60.0,0.0,0,0.0
17:14:29.816857,1,271540,16107,12720,270114,237339,237396,0.490,-0.818,0.375,60.0,0.0,0,0.0
17:14:29.820914,2,293343,16116,12699,280405,368511,368552,0.479,-0.980,0.360,60.0,0.0,0,0.0
17:14:29.828450,3,240676,16182,12733,232564,493612,493677,0.480,-0.978,0.258,60.0,0.0,0,0.0
17:14:29.832346,4,203356,16232,12775,190242,524159,524159,0.448,-0.855,0.382,60.0,0.0,0,0.0
17:14:29.836096,5,184607,16246,12792,173822,524159,524159,0.370,-0.786,0.388,60.0,0.0,0,0.0
17:14:29.839696,6,172581,16239,12782,162726,524159,524159,0.321,-0.961,0.330,60.0,0.0,0,0.0
17:14:29.843203,7,172706,16218,12771,162494,524159,524159,0.249,-0.921,0.327,60.0,0.0,0,0.0
17:14:30.008739,8,172851,16207,12778,162476,524159,524159,0.224,-0.889,0.344,60.0,0.0,0,0.0
17:14:30.012167,9,172998,16205,12779,162450,524159,524159,0.198,-0.901,0.247,60.0,0.0,0,0.0
17:14:30.015720,10,173224,16208,12780,162435,524159,524159,0.166,-0.856,0.254,60.0,0.0,0,0.0
17:14:30.018964,11,173502,16200,12778,162470,524159,524159,0.155,-0.833,0.312,60.0,0.0,0,0.0
17:14:30.022176,12,173795,32627,25287,162522,524159,524159,0.168,-0.818,0.315,60.0,0.0,0,0.0
17:14:30.209192,13,174041,32665,25335,162567,524159,524159,0.152,-0.880,0.328,60.0,0.0,0,0.0
17:14:30.214182,14,174275,32724,25378,162615,524159,524159,0.042,-0.992,0.357,60.0,0.0,0,0.0
17:14:30.217669,15,174362,32729,25381,162561,524159,524159,0.176,-1.072,0.270,60.0,0.0,0,0.0
17:14:30.220600,16,174372,32739,25389,162514,524159,524159,0.211,-1.127,0.261,60.0,0.0,0,0.0
17:14:30.223402,17,174383,32716,25385,162484,524159,524159,0.236,-1.065,0.359,60.0,0.0,0,0.0
17:14:30.409615,18,174432,32729,25409,162525,524159,524159,0.368,-0.985,0.356,60.0,0.0,0,0.0
17:14:30.412135,19,174521,32732,25441,162596,524159,524159,0.351,-0.882,0.299,60.0,0.0,0,0.0
17:14:30.414957,20,174574,32761,25471,162616,524159,524159,0.224,-0.878,0.259,60.0,0.0,0,0.0
17:14:30.417752,21,174602,32818,25547,162605,524159,524159,0.174,-0.799,0.266,60.0,0.0,0,0.0
17:14:30.421519,22,174564,32883,25608,162580,524159,524159,0.129,-0.863,0.277,60.0,0.0,0,0.0
17:14:30.610557,23,174417,32936,25685,162549,524159,524159,0.281,-0.864,0.277,60.0,0.0,0,0.0
17:14:30.615615,24,174186,63229,50628,162471,524159,524159,0.435,-0.885,0.382,60.0,0.0,0,0.0
17:14:30.620579,25,174050,64950,50536,162428,524159,524159,0.402,-0.939,0.356,60.0,0.0,0,0.0
17:14:30.625286,26,173959,64568,50246,162357,524159,524159,0.322,-1.003,0.427,60.0,0.0,0,0.0
17:14:30.630310,27,173853,64223,50038,162312,524159,524159,0.442,-0.912,0.391,60.0,0.0,0,0.0
17:14:30.810340,28,173674,64134,49999,162231,524159,524159,0.499,-0.804,0.381,60.0,0.0,0,0.0
17:14:30.816740,29,173540,64091,49970,162165,524159,524159,0.384,-0.844,0.377,60.0,0.0,0,0.0
17:14:30.820697,30,173452,64152,50008,162146,524159,524159,0.352,-0.937,0.359,60.0,0.0,0,0.0
17:14:30.824464,31,173371,64253,50095,162135,524159,524159,0.347,-0.843,0.389,60.0,0.0,0,0.0
17:14:30.828726,32,173277,64317,50159,162160,524159,524159,0.536,-0.760,0.409,60.0,0.0,0,0.0
17:14:31.010954,33,173229,64378,50208,162248,524159,524159,0.536,-0.775,0.396,60.0,0.0,0,0.0
