timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
11:07:06.434863,0,107256,37556,27841,106685,106466,106565,-0.128,-0.478,0.866,60.0,0.0,0,0.0
11:07:06.438365,1,238697,37568,27843,235665,237238,237214,-0.128,-0.470,0.865,60.0,0.0,0,0.0
11:07:06.443084,2,259431,37557,27826,243252,368344,368400,-0.128,-0.475,0.866,60.0,0.0,0,0.0
11:07:06.448513,3,217757,37554,27826,204302,493574,493599,-0.128,-0.472,0.865,60.0,0.0,0,0.0
11:07:06.451986,4,192121,37545,27806,175989,524031,524031,-0.129,-0.473,0.867,60.0,0.0,0,0.0
11:07:06.456619,5,176158,37554,27804,161674,524031,524031,-0.128,-0.473,0.866,60.0,0.0,0,0.0
11:07:06.459265,6,171457,37538,27806,157393,524031,524031,-0.129,-0.470,0.866,60.0,0.0,0,0.0
11:07:06.461311,7,171375,37508,27876,157371,524031,524031,-0.129,-0.467,0.868,60.0,0.0,0,0.0
11:07:06.628976,8,171281,37524,27815,157332,524031,524031,-0.128,-0.478,0.867,60.0,0.0,0,0.0
11:07:06.632434,9,171271,37549,27830,157343,524031,524031,-0.128,-0.475,0.868,60.0,0.0,0,0.0
11:07:06.635131,10,171358,37530,27816,157437,524031,524031,-0.128,-0.468,0.866,60.0,0.0,0,0.0
11:07:06.638092,11,171404,37571,27812,157472,524031,524031,-0.128,-0.470,0.866,60.0,0.0,0,0.0
11:07:06.641216,12,171431,70609,54911,157489,524031,524031,-0.128,-0.477,0.867,60.0,0.0,0,0.0
11:07:06.830655,13,171500,75012,54927,157553,524031,524031,-0.129,-0.472,0.867,60.0,0.0,0,0.0
11:07:06.833368,14,171553,74995,54908,157611,524031,524031,-0.127,-0.473,0.867,60.0,0.0,0,0.0
11:07:06.836136,15,171601,74992,54894,157661,524031,524031,-0.128,-0.474,0.867,60.0,0.0,0,0.0
11:07:06.839204,16,171701,74955,54869,157755,524031,524031,-0.127,-0.474,0.867,60.0,0.0,0,0.0
11:07:06.842100,17,171773,74991,54919,157803,524031,524031,-0.128,-0.474,0.866,60.0,0.0,0,0.0
11:07:07.029266,18,171891,74952,54875,157903,524031,524031,-0.127,-0.471,0.866,60.0,0.0,0,0.0
