timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
11:24:42.149360,0,140259,34159,30529,139443,106625,106706,0.068,-1.000,0.243,60.0,0.0,0,0.0
11:24:42.154084,1,249768,34183,30544,270128,237365,237415,0.096,-1.009,0.238,60.0,0.0,0,0.0
11:24:42.163438,2,220452,34188,30545,282505,368510,368602,0.107,-1.024,0.242,60.0,0.0,0,0.0
11:24:42.169551,3,192736,34167,30568,249278,493706,493798,0.105,-1.016,0.247,60.0,0.0,0,0.0
11:24:42.173450,4,179524,34163,30532,230106,524159,524159,0.102,-1.001,0.253,60.0,0.0,0,0.0
11:24:42.176997,5,171100,34142,30503,219433,524159,524159,0.106,-0.990,0.253,60.0,0.0,0,0.0
11:24:42.181026,6,171048,34120,30492,219300,524159,524159,0.121,-0.975,0.260,60.0,0.0,0,0.0
11:24:42.185169,7,171051,34103,30467,219107,524159,524159,0.141,-0.976,0.252,60.0,0.0,0,0.0
11:24:42.345632,8,171066,34061,30426,218931,524159,524159,0.141,-1.000,0.247,60.0,0.0,0,0.0
11:24:42.350104,9,171099,34021,30372,218782,524159,524159,0.128,-0.993,0.253,60.0,0.0,0,0.0
11:24:42.354542,10,171120,33972,30318,218653,524159,524159,0.132,-0.990,0.264,60.0,0.0,0,0.0
11:24:42.358069,11,171114,33934,30270,218533,524159,524159,0.117,-1.000,0.271,60.0,0.0,0,0.0
11:24:42.361064,12,171098,65085,59017,218422,524159,524159,0.095,-1.000,0.274,60.0,0.0,0,0.0
11:24:42.544646,13,171114,67479,59414,218352,524159,524159,0.076,-0.991,0.249,60.0,0.0,0,0.0
11:24:42.548324,14,171113,67472,59384,218299,524159,524159,0.003,-1.032,0.229,60.0,0.0,0,0.0
11:24:42.550799,15,171102,67357,59258,218255,524159,524159,-0.011,-1.019,0.224,60.0,0.0,0,0.0
11:24:42.553348,16,171078,67212,59103,218214,524159,524159,0.001,-1.020,0.221,60.0,0.0,0,0.0
11:24:42.556328,17,170968,67102,58975,218138,524159,524159,0.002,-1.072,0.236,60.0,0.0,0,0.0
11:24:42.746420,18,170746,66954,58844,218024,524159,524159,0.005,-1.091,0.247,60.0,0.0,0,0.0
11:24:42.749493,19,170516,66884,58784,217876,524159,524159,-0.002,-1.073,0.249,60.0,0.0,0,0.0
11:24:42.752054,20,170336,66730,58627,217659,524159,524159,-0.043,-1.031,0.282,60.0,0.0,0,0.0
11:24:42.754561,21,170196,66532,58396,217528,524159,524159,-0.127,-0.928,0.332,60.0,0.0,0,0.0
11:24:42.757645,22,170077,66256,58093,217540,524159,524159,-0.211,-0.946,0.292,60.0,0.0,0,0.0
11:24:42.945342,23,170043,66183,57993,217714,524159,524159,-0.222,-0.983,0.211,60.0,0.0,0,0.0
11:24:42.948103,24,170010,118214,108058,217931,524159,524159,-0.214,-0.995,0.220,60.0,0.0,0,0.0
11:24:42.952238,25,169946,129492,113949,218161,524159,524159,-0.146,-0.962,0.275,60.0,0.0,0,0.0
11:24:42.957364,26,169827,129377,113860,218333,524159,524159,-0.223,-0.951,0.329,60.0,0.0,0,0.0
11:24:42.960741,27,169729,129073,113588,218550,524159,524159,-0.285,-0.903,0.291,60.0,0.0,0,0.0
11:24:43.144780,28,169695,128709,113225,218720,524159,524159,-0.325,-0.877,0.250,60.0,0.0,0,0.0
11:24:43.147700,29,169645,128327,112852,218807,524159,524159,-0.351,-0.855,0.281,60.0,0.0,0,0.0
11:24:43.150957,30,169568,128074,112594,218839,524159,524159,-0.386,-0.936,0.289,60.0,0.0,0,0.0
11:24:43.154502,31,169504,127962,112497,218910,524159,524159,-0.347,-0.890,0.277,60.0,0.0,0,0.0
11:24:43.157105,32,169380,127908,112467,218951,524159,524159,-0.338,-0.899,0.304,60.0,0.0,0,0.0
11:24:43.345148,33,169264,127770,112332,218971,524159,524159,-0.343,-0.906,0.341,60.0,0.0,0,0.0
11:24:43.348273,34,169173,127621,112178,219028,524159,524159,-0.372,-0.899,0.336,60.0,0.0,0,0.0
11:24:43.351516,35,169134,127517,112047,219068,524159,524159,-0.404,-0.895,0.331,60.0,0.0,0,0.0
11:24:43.354219,36,169152,130644,114852,219117,524159,524159,-0.411,-0.893,0.287,60.0,0.0,0,0.0
11:24:43.356959,37,169180,130549,114765,219128,524159,524159,-0.412,-0.895,0.260,60.0,0.0,0,0.0
11:24:43.547093,38,169226,130483,114706,219133,524159,524159,-0.412,-0.874,0.260,60.0,0.0,0,0.0
11:24:43.550377,39,169285,130504,114735,219125,524159,524159,-0.398,-0.832,0.247,60.0,0.0,0,0.0
11:24:43.553247,40,169351,130638,114887,219095,524159,524159,-0.399,-0.880,0.219,60.0,0.0,0,0.0
11:24:43.555841,41,169381,130668,114937,219019,524159,524159,-0.467,-0.892,0.178,60.0,0.0,0,0.0
11:24:43.559041,42,169419,130489,114730,218911,524159,524159,-0.505,-0.894,0.204,60.0,0.0,0,0.0
11:24:43.746952,43,169448,130356,114593,218724,524159,524159,-0.487,-0.899,0.293,60.0,0.0,0,0.0
11:24:43.749619,44,169471,130351,114597,218561,524159,524159,-0.419,-0.899,0.314,60.0,0.0,0,0.0
11:24:43.753640,45,169493,130414,114655,218473,524159,524159,-0.395,-0.891,0.289,60.0,0.0,0,0.0
11:24:43.757767,46,169536,130312,114523,218511,524159,524159,-0.356,-0.893,0.242,60.0,0.0,0,0.0
11:24:43.760062,47,169563,130396,114596,218579,524159,524159,-0.285,-0.908,0.227,60.0,0.0,0,0.0
11:24:43.945371,48,169696,130712,114919,218808,524159,524159,-0.251,-0.902,0.218,60.0,0.0,0,0.0
11:24:43.948841,49,169891,131074,115291,219090,524159,524159,-0.232,-0.941,0.238,60.0,0.0,0,0.0
11:24:43.952786,50,170036,131366,115592,219319,524159,524159,-0.204,-0.959,0.247,60.0,0.0,0,0.0
11:24:43.956650,51,170249,131651,115884,219652,524159,524159,-0.146,-0.964,0.273,60.0,0.0,0,0.0
11:24:43.960698,52,170528,131956,116181,220072,524159,524159,-0.111,-0.969,0.260,60.0,0.0,0,0.0
11:24:44.145078,53,170849,132298,116571,220496,524159,524159,-0.043,-0.965,0.298,60.0,0.0,0,0.0
11:24:44.148019,54,171117,132926,117206,220918,524159,524159,-0.007,-1.031,0.285,60.0,0.0,0,0.0
11:24:44.150985,55,171380,134160,118472,221389,524159,524159,0.034,-1.089,0.243,60.0,0.0,0,0.0
11:24:44.154433,56,171607,135272,119614,221878,524159,524159,0.072,-1.128,0.242,60.0,0.0,0,0.0
11:24:44.157352,57,171782,135896,120302,222297,524159,524159,0.091,-1.202,0.298,60.0,0.0,0,0.0
11:24:44.345283,58,171933,136237,120737,222585,524159,524159,0.097,-1.064,0.362,60.0,0.0,0,0.0
11:24:44.349187,59,172161,136371,120874,222764,524159,524159,0.055,-0.985,0.363,60.0,0.0,0,0.0
11:24:44.351849,60,172466,136247,120758,222960,524159,524159,-0.037,-0.953,0.306,60.0,0.0,0,0.0
11:24:44.354979,61,172769,135993,120482,223141,524159,524159,-0.128,-0.967,0.273,60.0,0.0,0,0.0
