timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
15:22:16.867685,0,140164,17985,13415,139277,106627,106732,0.352,-0.902,0.198,60.0,0.0,0,0.0
15:22:16.872739,1,206050,17981,13401,193087,237399,237508,0.337,-0.958,0.208,60.0,0.0,0,0.0
15:22:16.877183,2,183517,17980,13407,171905,368525,368653,0.324,-0.915,0.243,60.0,0.0,0,0.0
15:22:16.882267,3,175429,17994,13401,164244,493620,493667,0.327,-0.934,0.231,60.0,0.0,0,0.0
15:22:16.887543,4,169658,17997,13402,158877,524031,524031,0.359,-0.932,0.218,60.0,0.0,0,0.0
15:22:16.891303,5,170013,18012,13405,159162,524031,524031,0.366,-0.903,0.264,60.0,0.0,0,0.0
15:22:16.894841,6,169961,18009,13409,159158,524031,524031,0.359,-0.992,0.188,60.0,0.0,0,0.0
15:22:16.898775,7,169679,18009,13408,158963,524031,524031,0.266,-1.069,0.100,60.0,0.0,0,0.0
15:22:17.064102,8,169734,18000,13405,158960,524031,524031,0.287,-1.058,0.186,60.0,0.0,0,0.0
15:22:17.067912,9,170146,18004,13411,159229,524031,524031,0.302,-1.014,0.237,60.0,0.0,0,0.0
15:22:17.071223,10,170970,17971,13365,159960,524031,524031,0.281,-0.945,0.253,60.0,0.0,0,0.0
15:22:17.074572,11,171972,17951,13337,160846,524031,524031,0.237,-0.971,0.249,60.0,0.0,0,0.0
15:22:17.077217,12,172943,35931,26337,161667,524031,524031,0.243,-0.903,0.245,60.0,0.0,0,0.0
15:22:17.264626,13,173735,35961,26347,162396,524031,524031,0.187,-0.996,0.184,60.0,0.0,0,0.0
15:22:17.268511,14,174255,36013,26375,162798,524031,524031,0.105,-1.029,0.106,60.0,0.0,0,0.0
15:22:17.272916,15,174791,36063,26394,163217,524031,524031,0.054,-1.056,0.077,60.0,0.0,0,0.0
15:22:17.276964,16,175309,36122,26440,163583,524031,524031,0.031,-0.959,0.210,60.0,0.0,0,0.0
15:22:17.280686,17,175879,36189,26495,163978,524031,524031,0.034,-0.899,0.244,60.0,0.0,0,0.0
15:22:17.464422,18,176262,36233,26524,164315,524031,524031,0.074,-0.934,0.181,60.0,0.0,0,0.0
15:22:17.468543,19,176086,36229,26518,164269,524031,524031,0.099,-0.942,0.197,60.0,0.0,0,0.0
15:22:17.471147,20,175451,36214,26529,163821,524031,524031,0.124,-0.915,0.218,60.0,0.0,0,0.0
15:22:17.473585,21,174726,36203,26519,163199,524031,524031,0.038,-0.972,0.171,60.0,0.0,0,0.0
15:22:17.479186,22,173908,36245,26547,162447,524031,524031,-0.011,-1.153,0.130,60.0,0.0,0,0.0
15:22:17.668837,23,173129,36269,26576,161889,524031,524031,0.113,-1.129,0.217,60.0,0.0,0,0.0
15:22:17.673073,24,172586,67615,52201,161465,524031,524031,0.292,-1.038,0.206,60.0,0.0,0,0.0
15:22:17.681127,25,172371,70941,52195,161285,524031,524031,0.222,-0.976,0.210,60.0,0.0,0,0.0
15:22:17.684309,26,172483,70922,52212,161286,524031,524031,0.109,-0.956,0.192,60.0,0.0,0,0.0
15:22:17.689020,27,172619,71004,52296,161344,524031,524031,0.103,-0.942,0.134,60.0,0.0,0,0.0
15:22:17.866971,28,172723,71492,52668,161576,524031,524031,0.128,-0.936,0.165,60.0,0.0,0,0.0
15:22:17.869783,29,173135,72066,53105,161629,524031,524031,0.220,-0.893,0.141,60.0,0.0,0,0.0
15:22:17.872661,30,173674,72631,53573,161626,524031,524031,0.289,-0.901,0.155,60.0,0.0,0,0.0
15:22:17.876884,31,174025,73317,54163,161422,524031,524031,0.387,-0.922,0.217,60.0,0.0,0,0.0
15:22:17.879524,32,173931,74111,54800,160882,524031,524031,0.589,-0.875,0.247,60.0,0.0,0,0.0
15:22:18.065807,33,173172,74998,55495,159901,524031,524031,0.507,-1.020,0.165,60.0,0.0,0,0.0
15:22:18.068159,34,172085,75672,56042,158651,524031,524031,0.484,-1.013,0.070,60.0,0.0,0,0.0
15:22:18.071047,35,171474,75685,56112,158019,524031,524031,0.428,-1.104,0.126,60.0,0.0,0,0.0
15:22:18.075032,36,171158,77447,57501,157635,524031,524031,0.458,-1.002,0.180,60.0,0.0,0,0.0
15:22:18.077404,37,171411,76937,57196,158023,524031,524031,0.555,-0.737,0.219,60.0,0.0,0,0.0
15:22:18.267671,38,171618,76874,57181,158337,524031,524031,0.524,-0.765,0.217,60.0,0.0,0,0.0
15:22:18.273613,39,171851,77102,57343,158521,524031,524031,0.475,-0.818,0.219,60.0,0.0,0,0.0
15:22:18.276149,40,172045,77056,57317,158607,524031,524031,0.481,-0.947,0.156,60.0,0.0,0,0.0
15:22:18.278552,41,172219,76982,57290,158783,524031,524031,0.475,-0.879,0.156,60.0,0.0,0,0.0
15:22:18.282200,42,172374,77061,57345,158937,524031,524031,0.465,-0.872,0.189,60.0,0.0,0,0.0
15:22:18.467062,43,172333,77243,57467,158947,524031,524031,0.477,-0.880,0.182,60.0,0.0,0,0.0
15:22:18.471120,44,172417,77257,57489,159169,524031,524031,0.510,-0.783,0.179,60.0,0.0,0,0.0
15:22:18.475240,45,172439,77341,57510,159318,524031,524031,0.547,-0.886,0.022,60.0,0.0,0,0.0
15:22:18.479059,46,172401,77335,57439,159404,524031,524031,0.602,-0.873,0.080,60.0,0.0,0,0.0
15:22:18.482842,47,172181,77048,57256,159350,524031,524031,0.512,-1.207,0.213,60.0,0.0,0,0.0
15:22:18.665831,48,172095,76998,57266,159255,524031,524031,0.275,-0.844,0.488,60.0,0.0,0,0.0
15:22:18.669021,49,171992,76812,57093,159283,524031,524031,0.432,-0.903,0.245,60.0,0.0,0,0.0
15:22:18.672729,50,172136,76148,56534,159542,524031,524031,0.556,-0.893,0.155,60.0,0.0,0,0.0
15:22:18.676154,51,172344,75818,56271,159734,524031,524031,0.475,-0.895,0.153,60.0,0.0,0,0.0
15:22:18.680254,52,172660,75501,55980,160198,524031,524031,0.461,-0.871,0.030,60.0,0.0,0,0.0
15:22:18.867171,53,173021,75291,55789,160624,524031,524031,0.419,-0.899,0.055,60.0,0.0,0,0.0
15:22:18.870935,54,173363,75191,55688,160953,524031,524031,0.471,-0.895,0.120,60.0,0.0,0,0.0
15:22:18.875527,55,173560,75107,55591,161206,524031,524031,0.481,-0.869,0.183,60.0,0.0,0,0.0
15:22:18.878647,56,173774,75108,55591,161517,524031,524031,0.474,-0.886,0.157,60.0,0.0,0,0.0
15:22:18.881237,57,174088,75115,55562,161862,524031,524031,0.479,-0.885,0.124,60.0,0.0,0,0.0
15:22:19.066262,58,174260,75206,55620,162015,524031,524031,0.381,-0.999,0.126,60.0,0.0,0,0.0
15:22:19.070093,59,174440,75248,55618,162162,524031,524031,0.379,-1.043,0.090,60.0,0.0,0,0.0
15:22:19.073511,60,174561,75142,55509,162328,524031,524031,0.392,-1.008,0.172,60.0,0.0,0,0.0
15:22:19.076986,61,174911,74763,55139,162835,524031,524031,0.448,-1.014,0.020,60.0,0.0,0,0.0
15:22:19.079208,62,174860,74390,54858,162927,524031,524031,0.384,-0.894,0.151,60.0,0.0,0,0.0
15:22:19.265179,63,174788,74185,54666,163027,524031,524031,0.256,-0.920,0.255,60.0,0.0,0,0.0
15:22:19.269742,64,174965,74066,54579,163192,524031,524031,0.164,-0.990,0.228,60.0,0.0,0,0.0
15:22:19.273007,65,175226,73903,54376,163561,524031,524031,0.225,-1.032,0.009,60.0,0.0,0,0.0
15:22:19.275438,66,175431,73837,54314,163893,524031,524031,0.260,-0.986,0.031,60.0,0.0,0,0.0
15:22:19.279305,67,175726,73832,54243,164163,524031,524031,0.246,-1.000,0.111,60.0,0.0,0,0.0
15:22:19.465724,68,176078,73767,54222,164423,524031,524031,0.128,-0.941,0.201,60.0,0.0,0,0.0
15:22:19.468695,69,176395,73767,54243,164687,524031,524031,0.117,-0.906,0.134,60.0,0.0,0,0.0
15:22:19.471402,70,176628,73762,54176,164996,524031,524031,0.243,-0.938,0.068,60.0,0.0,0,0.0
15:22:19.474008,71,176762,73812,54174,165161,524031,524031,0.222,-0.989,0.088,60.0,0.0,0,0.0
15:22:19.477685,72,176832,74017,54301,165079,524031,524031,0.102,-1.154,0.106,60.0,0.0,0,0.0
15:22:19.665298,73,177003,73903,54220,165247,524031,524031,0.171,-0.946,0.103,60.0,0.0,0,0.0
15:22:19.670364,74,177109,73854,54176,165305,524031,524031,0.233,-1.009,0.147,60.0,0.0,0,0.0
15:22:19.673673,75,176869,73694,54078,165059,524031,524031,0.333,-0.959,0.122,60.0,0.0,0,0.0
15:22:19.678286,76,176341,73573,54022,164608,524031,524031,0.336,-0.905,0.105,60.0,0.0,0,0.0
15:22:19.680874,77,175814,73579,54077,164183,524031,524031,0.229,-1.025,0.061,60.0,0.0,0,0.0
15:22:19.866839,78,175397,73663,54177,163823,524031,524031,0.238,-0.989,0.021,60.0,0.0,0,0.0
15:22:19.871205,79,175148,73876,54334,163509,524031,524031,0.361,-0.919,0.126,60.0,0.0,0,0.0
15:22:19.874384,80,175142,74440,54746,163359,524031,524031,0.420,-0.936,0.100,60.0,0.0,0,0.0
15:22:19.877825,81,175442,75106,55267,163391,524031,524031,0.424,-0.886,0.090,60.0,0.0,0,0.0
15:22:19.880039,82,175505,75600,55691,163152,524031,524031,0.487,-0.904,0.136,60.0,0.0,0,0.0
15:22:20.065442,83,175515,75962,56015,162948,524031,524031,0.546,-0.823,0.138,60.0,0.0,0,0.0
15:22:20.068809,84,175313,76770,56672,162509,524031,524031,0.570,-0.846,0.168,60.0,0.0,0,0.0
15:22:20.071450,85,174656,77844,57518,161572,524031,524031,0.628,-0.965,0.103,60.0,0.0,0,0.0
15:22:20.074306,86,174232,78543,58040,161052,524031,524031,0.593,-0.994,0.010,60.0,0.0,0,0.0
