timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
16:16:48.943620,0,111024,12299,8711,121007,106626,106698,-0.381,-0.748,0.353,60.0,0.0,0,0.0
16:16:48.948563,1,117994,12318,8722,135538,237348,237416,-0.396,-0.716,0.285,60.0,0.0,0,0.0
16:16:48.951946,2,133436,12346,8727,153359,368459,368527,-0.398,-0.697,0.244,60.0,0.0,0,0.0
16:16:48.955821,3,147200,12373,8745,169090,493582,493666,-0.429,-0.758,0.274,60.0,0.0,0,0.0
16:16:48.959969,4,153357,12407,8752,175941,524031,524031,-0.531,-0.811,0.361,60.0,0.0,0,0.0
16:16:48.962768,5,158068,12433,8759,180951,524031,524031,-0.500,-0.891,0.377,60.0,0.0,0,0.0
16:16:48.965538,6,161140,12438,8766,184115,524031,524031,-0.401,-0.996,0.383,60.0,0.0,0,0.0
16:16:48.967629,7,161368,12435,8751,184170,524031,524031,-0.412,-0.885,0.408,60.0,0.0,0,0.0
16:16:49.141944,8,161588,12423,8726,184371,524031,524031,-0.429,-0.799,0.388,60.0,0.0,0,0.0
16:16:49.148506,9,161719,12436,8717,184717,524031,524031,-0.454,-0.886,0.282,60.0,0.0,0,0.0
16:16:49.153827,10,161767,12447,8730,185147,524031,524031,-0.388,-0.965,0.211,60.0,0.0,0,0.0
16:16:49.158299,11,161896,12459,8730,185531,524031,524031,-0.326,-0.895,0.244,60.0,0.0,0,0.0
16:16:49.161835,12,162082,25064,17282,185780,524031,524031,-0.270,-0.888,0.270,60.0,0.0,0,0.0
16:16:49.339981,13,162264,25074,17291,185996,524031,524031,-0.267,-0.889,0.216,60.0,0.0,0,0.0
16:16:49.343813,14,162496,25048,17290,186294,524031,524031,-0.257,-0.943,0.193,60.0,0.0,0,0.0
16:16:49.346477,15,162801,24999,17254,186459,524031,524031,-0.256,-0.909,0.238,60.0,0.0,0,0.0
16:16:49.349787,16,163185,24964,17230,186509,524031,524031,-0.253,-0.891,0.309,60.0,0.0,0,0.0
16:16:49.352875,17,163631,24929,17234,186606,524031,524031,-0.108,-0.951,0.286,60.0,0.0,0,0.0
16:16:49.539780,18,164046,24941,17246,186692,524031,524031,-0.065,-0.924,0.329,60.0,0.0,0,0.0
16:16:49.542404,19,164357,24980,17268,186793,524031,524031,-0.019,-1.105,0.343,60.0,0.0,0,0.0
16:16:49.545475,20,164644,24975,17251,186979,524031,524031,-0.031,-1.195,0.324,60.0,0.0,0,0.0
16:16:49.549437,21,164732,24936,17216,186519,524031,524031,0.090,-1.001,0.547,60.0,0.0,0,0.0
16:16:49.554028,22,164722,24942,17209,186118,524031,524031,0.047,-0.993,0.489,60.0,0.0,0,0.0
16:16:49.738928,23,164727,24954,17209,186193,524031,524031,0.050,-1.055,0.292,60.0,0.0,0,0.0
16:16:49.742432,24,164797,49191,33880,186263,524031,524031,0.114,-0.914,0.363,60.0,0.0,0,0.0
16:16:49.745409,25,164832,49165,33886,186076,524031,524031,0.161,-0.822,0.372,60.0,0.0,0,0.0
16:16:49.750436,26,164773,49123,33890,185852,524031,524031,0.229,-0.903,0.278,60.0,0.0,0,0.0
16:16:49.753714,27,164561,49097,33881,185340,524031,524031,0.197,-0.924,0.269,60.0,0.0,0,0.0
16:16:49.940038,28,164343,49101,33861,184968,524031,524031,0.101,-0.965,0.341,60.0,0.0,0,0.0
16:16:49.943115,29,164238,49075,33827,184758,524031,524031,0.121,-0.924,0.345,60.0,0.0,0,0.0
16:16:49.946664,30,164130,49081,33807,184543,524031,524031,0.174,-0.978,0.339,60.0,0.0,0,0.0
16:16:49.949484,31,164146,49117,33792,184594,524031,524031,0.176,-0.959,0.346,60.0,0.0,0,0.0
16:16:49.952397,32,164197,49146,33724,184656,524031,524031,0.190,-0.944,0.380,60.0,0.0,0,0.0
16:16:50.139104,33,164217,49137,33660,184712,524031,524031,0.255,-1.027,0.280,60.0,0.0,0,0.0
16:16:50.142269,34,164198,49068,33578,184547,524031,524031,0.282,-1.090,0.273,60.0,0.0,0,0.0
16:16:50.144997,35,164104,48985,33469,184018,524031,524031,0.226,-0.971,0.337,60.0,0.0,0,0.0
16:16:50.148096,36,163940,50232,34323,183547,524031,524031,0.225,-0.976,0.276,60.0,0.0,0,0.0
16:16:50.151999,37,163740,50216,34307,183279,524031,524031,0.241,-1.060,0.219,60.0,0.0,0,0.0
16:16:50.340409,38,163594,50194,34296,183053,524031,524031,0.221,-0.948,0.255,60.0,0.0,0,0.0
16:16:50.343059,39,163395,50165,34273,182842,524031,524031,0.151,-0.948,0.277,60.0,0.0,0,0.0
16:16:50.346194,40,163237,50143,34273,182856,524031,524031,0.106,-0.994,0.210,60.0,0.0,0,0.0
16:16:50.350448,41,163187,50092,34258,183072,524031,524031,0.104,-0.992,0.205,60.0,0.0,0,0.0
16:16:50.353798,42,163136,50048,34250,183197,524031,524031,0.102,-1.032,0.254,60.0,0.0,0,0.0
16:16:50.539890,43,163127,49998,34268,183405,524031,524031,0.089,-1.026,0.236,60.0,0.0,0,0.0
16:16:50.542943,44,163233,49987,34316,183788,524031,524031,0.010,-1.024,0.262,60.0,0.0,0,0.0
16:16:50.545823,45,163380,49977,34405,184264,524031,524031,-0.019,-1.002,0.320,60.0,0.0,0,0.0
16:16:50.549178,46,163404,49960,34515,184506,524031,524031,-0.011,-0.961,0.274,60.0,0.0,0,0.0
16:16:50.552186,47,163232,49871,34625,184491,524031,524031,-0.036,-1.045,0.364,60.0,0.0,0,0.0
16:16:50.737970,48,162880,49784,34634,184130,524031,524031,-0.180,-0.889,0.458,60.0,0.0,0,0.0
16:16:50.741664,49,162234,49757,34697,183638,524031,524031,-0.091,-0.940,0.354,60.0,0.0,0,0.0
16:16:50.744832,50,161597,49870,34817,183342,524031,524031,-0.182,-1.001,0.244,60.0,0.0,0,0.0
16:16:50.749981,51,161121,50020,34860,183376,524031,524031,-0.244,-0.930,0.232,60.0,0.0,0,0.0
16:16:50.753191,52,160785,50151,34894,183386,524031,524031,-0.303,-0.836,0.369,60.0,0.0,0,0.0
16:16:50.939035,53,160625,50286,34952,183580,524031,524031,-0.325,-0.810,0.293,60.0,0.0,0,0.0
16:16:50.942131,54,160621,50402,35049,183788,524031,524031,-0.224,-0.883,0.266,60.0,0.0,0,0.0
16:16:50.945814,55,160768,50536,35164,183985,524031,524031,-0.257,-0.857,0.330,60.0,0.0,0,0.0
16:16:50.948628,56,161001,50428,35047,184217,524031,524031,-0.469,-0.925,0.359,60.0,0.0,0,0.0
16:16:50.951381,57,161446,50264,34822,184904,524031,524031,-0.510,-0.776,0.272,60.0,0.0,0,0.0
16:16:51.138374,58,161965,50111,34703,185810,524031,524031,-0.428,-0.941,0.231,60.0,0.0,0,0.0
16:16:51.143987,59,162493,50093,34688,186655,524031,524031,-0.253,-1.008,0.235,60.0,0.0,0,0.0
16:16:51.149886,60,163025,50067,34671,187179,524031,524031,-0.239,-0.894,0.230,60.0,0.0,0,0.0
16:16:51.154914,61,163643,50118,34681,187539,524031,524031,-0.287,-0.916,0.321,60.0,0.0,0,0.0
16:16:51.159194,62,164315,50163,34667,187851,524031,524031,-0.376,-0.846,0.406,60.0,0.0,0,0.0
16:16:51.337471,63,164924,50150,34681,188207,524031,524031,-0.299,-1.035,0.269,60.0,0.0,0,0.0
16:16:51.341186,64,165322,49964,34555,188274,524031,524031,-0.285,-1.005,0.250,60.0,0.0,0,0.0
16:16:51.344451,65,165263,49878,34491,187586,524031,524031,-0.255,-0.915,0.252,60.0,0.0,0,0.0
16:16:51.348676,66,165078,49821,34444,186871,524031,524031,-0.263,-0.983,0.113,60.0,0.0,0,0.0
16:16:51.352847,67,164873,49716,34385,186251,524031,524031,-0.322,-1.002,0.109,60.0,0.0,0,0.0
16:16:51.538298,68,164670,49615,34335,185628,524031,524031,-0.370,-0.955,0.230,60.0,0.0,0,0.0
16:16:51.541247,69,164407,49630,34377,185016,524031,524031,-0.218,-0.957,0.220,60.0,0.0,0,0.0
16:16:51.544393,70,164259,49693,34447,184664,524031,524031,-0.132,-0.971,0.192,60.0,0.0,0,0.0
16:16:51.548398,71,164112,49682,34476,184332,524031,524031,-0.161,-0.982,0.207,60.0,0.0,0,0.0
16:16:51.551530,72,163965,49630,34490,183997,524031,524031,-0.200,-0.900,0.176,60.0,0.0,0,0.0
16:16:51.738258,73,163909,49571,34482,183761,524031,524031,-0.157,-0.993,0.179,60.0,0.0,0,0.0
16:16:51.741189,74,163958,49528,34445,183742,524031,524031,-0.040,-0.902,0.196,60.0,0.0,0,0.0
16:16:51.744110,75,164103,49459,34384,183870,524031,524031,-0.012,-0.997,0.276,60.0,0.0,0,0.0
16:16:51.747920,76,164276,49417,34349,184114,524031,524031,0.044,-1.061,0.284,60.0,0.0,0,0.0
16:16:51.751311,77,164562,49346,34259,184352,524031,524031,0.099,-1.187,0.302,60.0,0.0,0,0.0
16:16:51.938149,78,164815,49298,34239,184125,524031,524031,0.136,-1.054,0.444,60.0,0.0,0,0.0
16:16:51.943903,79,164883,49327,34248,183886,524031,524031,-0.013,-1.004,0.375,60.0,0.0,0,0.0
16:16:51.947488,80,164874,49371,34271,184004,524031,524031,0.059,-1.157,0.229,60.0,0.0,0,0.0
