timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
16:23:33.074658,0,109881,12831,9227,120641,106631,106686,0.221,-0.963,0.245,60.0,0.0,0,0.0
16:23:33.080803,1,116098,12833,9226,134732,237335,237416,0.282,-1.027,0.226,60.0,0.0,0,0.0
16:23:33.085507,2,132104,12835,9237,153848,368492,368573,0.234,-1.080,0.213,60.0,0.0,0,0.0
16:23:33.090153,3,144721,12871,9261,169086,493607,493685,0.185,-1.027,0.154,60.0,0.0,0,0.0
16:23:33.094392,4,151618,12902,9295,177991,524159,524159,0.113,-1.084,0.120,60.0,0.0,0,0.0
16:23:33.097504,5,156925,12888,9297,185033,524159,524159,0.047,-1.109,0.221,60.0,0.0,0,0.0
16:23:33.100844,6,159263,12853,9283,188221,524159,524159,0.103,-0.915,0.236,60.0,0.0,0,0.0
16:23:33.103989,7,160364,12813,9265,189982,524159,524159,0.065,-1.006,0.247,60.0,0.0,0,0.0
16:23:33.270485,8,161537,12751,9229,191782,524159,524159,-0.005,-1.005,0.233,60.0,0.0,0,0.0
16:23:33.273487,9,161597,12741,9225,192288,524159,524159,-0.015,-0.890,0.308,60.0,0.0,0,0.0
16:23:33.276631,10,161780,12724,9225,192728,524159,524159,-0.030,-1.016,0.394,60.0,0.0,0,0.0
16:23:33.279701,11,162397,12728,9240,193204,524159,524159,0.042,-0.894,0.393,60.0,0.0,0,0.0
16:23:33.282881,12,163101,25640,18318,193718,524159,524159,-0.008,-0.835,0.559,60.0,0.0,0,0.0
16:23:33.470816,13,163813,25622,18293,194496,524159,524159,-0.140,-0.937,0.311,60.0,0.0,0,0.0
16:23:33.475175,14,164505,25558,18203,195420,524159,524159,-0.394,-0.906,0.260,60.0,0.0,0,0.0
16:23:33.478269,15,164880,25515,18148,195678,524159,524159,-0.277,-0.904,0.216,60.0,0.0,0,0.0
16:23:33.480985,16,164896,25515,18114,195096,524159,524159,-0.142,-0.881,0.224,60.0,0.0,0,0.0
16:23:33.484523,17,164689,25528,18114,193999,524159,524159,-0.141,-0.903,0.207,60.0,0.0,0,0.0
16:23:33.671499,18,164428,25531,18098,193083,524159,524159,-0.218,-0.954,0.122,60.0,0.0,0,0.0
16:23:33.674379,19,164247,25547,18076,192412,524159,524159,-0.367,-0.821,0.404,60.0,0.0,0,0.0
16:23:33.677047,20,164088,25576,18103,191786,524159,524159,-0.265,-0.848,0.484,60.0,0.0,0,0.0
16:23:33.680296,21,164187,25577,18093,191498,524159,524159,-0.378,-0.948,0.397,60.0,0.0,0,0.0
16:23:33.684582,22,164324,25542,18054,191371,524159,524159,-0.295,-0.989,0.275,60.0,0.0,0,0.0
16:23:33.869918,23,164411,25487,17982,191451,524159,524159,-0.330,-0.986,0.238,60.0,0.0,0,0.0
16:23:33.873320,24,164344,50186,35289,191633,524159,524159,-0.328,-1.036,0.265,60.0,0.0,0,0.0
16:23:33.876790,25,164280,50110,35244,191782,524159,524159,-0.320,-0.919,0.192,60.0,0.0,0,0.0
16:23:33.880679,26,164163,50160,35280,191847,524159,524159,-0.284,-0.980,0.170,60.0,0.0,0,0.0
16:23:33.883777,27,164071,50253,35358,191895,524159,524159,-0.213,-1.004,0.208,60.0,0.0,0,0.0
16:23:34.071172,28,164130,50307,35424,191972,524159,524159,-0.126,-0.909,0.215,60.0,0.0,0,0.0
16:23:34.074949,29,164222,50359,35480,191893,524159,524159,-0.170,-0.912,0.244,60.0,0.0,0,0.0
16:23:34.079402,30,164297,50393,35520,191897,524159,524159,-0.214,-0.940,0.178,60.0,0.0,0,0.0
16:23:34.083260,31,164459,50386,35523,192083,524159,524159,-0.203,-0.962,0.118,60.0,0.0,0,0.0
16:23:34.087494,32,164632,50321,35497,192123,524159,524159,-0.170,-0.982,0.208,60.0,0.0,0,0.0
16:23:34.269921,33,164706,50189,35445,191620,524159,524159,-0.131,-0.913,0.226,60.0,0.0,0,0.0
16:23:34.272972,34,164696,50010,35363,190815,524159,524159,-0.063,-0.946,0.195,60.0,0.0,0,0.0
16:23:34.276186,35,164716,49887,35285,190155,524159,524159,-0.010,-1.029,0.275,60.0,0.0,0,0.0
16:23:34.279200,36,164786,51112,36179,189650,524159,524159,0.116,-1.031,0.347,60.0,0.0,0,0.0
16:23:34.282693,37,164850,51080,36199,189280,524159,524159,0.200,-1.206,0.307,60.0,0.0,0,0.0
16:23:34.470829,38,164891,51083,36220,189042,524159,524159,0.189,-1.131,0.351,60.0,0.0,0,0.0
16:23:34.474183,39,164986,51068,36222,188948,524159,524159,0.135,-1.039,0.387,60.0,0.0,0,0.0
16:23:34.477198,40,165032,51090,36228,188861,524159,524159,0.053,-0.985,0.403,60.0,0.0,0,0.0
16:23:34.479965,41,165025,51126,36279,188942,524159,524159,0.046,-0.987,0.321,60.0,0.0,0,0.0
16:23:34.483539,42,165046,51136,36288,189129,524159,524159,0.085,-0.897,0.276,60.0,0.0,0,0.0
16:23:34.669816,43,165071,51154,36302,189295,524159,524159,0.060,-0.891,0.282,60.0,0.0,0,0.0
16:23:34.672652,44,165169,51176,36313,189520,524159,524159,0.100,-0.890,0.257,60.0,0.0,0,0.0
16:23:34.675432,45,165264,51162,36319,189606,524159,524159,0.192,-0.914,0.246,60.0,0.0,0,0.0
16:23:34.679373,46,165330,51184,36330,189509,524159,524159,0.197,-0.936,0.260,60.0,0.0,0,0.0
16:23:34.682369,47,165506,51211,36342,189466,524159,524159,0.182,-0.927,0.261,60.0,0.0,0,0.0
16:23:34.870561,48,165650,51237,36332,189435,524159,524159,0.187,-0.976,0.265,60.0,0.0,0,0.0
16:23:34.873840,49,165849,51258,36294,189526,524159,524159,0.220,-0.967,0.318,60.0,0.0,0,0.0
16:23:34.877336,50,166102,51265,36237,189656,524159,524159,0.270,-0.907,0.363,60.0,0.0,0,0.0
16:23:34.880798,51,166188,51300,36189,189619,524159,524159,0.252,-1.007,0.367,60.0,0.0,0,0.0
16:23:34.883353,52,166091,51296,36145,189346,524159,524159,0.360,-1.023,0.288,60.0,0.0,0,0.0
16:23:35.069195,53,165945,51280,36085,188973,524159,524159,0.364,-0.999,0.231,60.0,0.0,0,0.0
16:23:35.072370,54,165763,51227,35996,188607,524159,524159,0.225,-1.019,0.229,60.0,0.0,0,0.0
16:23:35.075811,55,165434,51134,35940,188058,524159,524159,0.218,-1.033,0.229,60.0,0.0,0,0.0
16:23:35.078684,56,165128,51113,35933,187685,524159,524159,0.286,-0.978,0.226,60.0,0.0,0,0.0
16:23:35.081939,57,164848,51095,35937,187342,524159,524159,0.288,-0.907,0.252,60.0,0.0,0,0.0
16:23:35.269174,58,164620,51105,35955,187175,524159,524159,0.274,-0.916,0.234,60.0,0.0,0,0.0
16:23:35.272357,59,164413,51086,35931,187127,524159,524159,0.214,-0.932,0.208,60.0,0.0,0,0.0
16:23:35.275414,60,164123,51035,35918,186965,524159,524159,0.156,-0.980,0.241,60.0,0.0,0,0.0
16:23:35.278587,61,163883,51003,35918,186906,524159,524159,0.171,-1.017,0.241,60.0,0.0,0,0.0
16:23:35.281872,62,163640,51018,35952,186869,524159,524159,0.179,-1.088,0.260,60.0,0.0,0,0.0
16:23:35.470466,63,163443,51007,35999,187023,524159,524159,0.150,-1.124,0.199,60.0,0.0,0,0.0
16:23:35.473818,64,163403,50910,36010,187475,524159,524159,0.134,-1.066,0.347,60.0,0.0,0,0.0
16:23:35.477350,65,163436,50789,35995,188118,524159,524159,0.091,-1.053,0.300,60.0,0.0,0,0.0
16:23:35.481005,66,163560,50518,35809,189423,524159,524159,-0.008,-1.093,0.162,60.0,0.0,0,0.0
16:23:35.484404,67,163655,50349,35683,190160,524159,524159,-0.170,-0.882,0.343,60.0,0.0,0,0.0
16:23:35.669483,68,163463,50380,35781,190097,524159,524159,-0.133,-0.815,0.352,60.0,0.0,0,0.0
16:23:35.672617,69,163138,50527,35922,189942,524159,524159,-0.130,-0.951,0.211,60.0,0.0,0,0.0
16:23:35.675844,70,162664,50561,35964,189587,524159,524159,-0.257,-0.914,0.291,60.0,0.0,0,0.0
16:23:35.679309,71,161892,50563,35985,188496,524159,524159,-0.270,-0.924,0.304,60.0,0.0,0,0.0
16:23:35.682148,72,161108,50524,35979,187385,524159,524159,-0.260,-0.945,0.253,60.0,0.0,0,0.0
16:23:35.869346,73,160473,50468,35934,186558,524159,524159,-0.260,-0.828,0.273,60.0,0.0,0,0.0
16:23:35.872567,74,159893,50493,35947,185909,524159,524159,-0.300,-0.889,0.303,60.0,0.0,0,0.0
16:23:35.875612,75,159481,50489,35933,185739,524159,524159,-0.279,-0.882,0.258,60.0,0.0,0,0.0
16:23:35.878913,76,159280,50479,35895,185773,524159,524159,-0.310,-0.898,0.286,60.0,0.0,0,0.0
16:23:35.882051,77,159187,50411,35816,185853,524159,524159,-0.372,-0.906,0.311,60.0,0.0,0,0.0
16:23:36.069269,78,159176,50353,35729,185937,524159,524159,-0.356,-0.958,0.276,60.0,0.0,0,0.0
16:23:36.073484,79,159192,50241,35617,186012,524159,524159,-0.285,-0.955,0.270,60.0,0.0,0,0.0
16:23:36.076276,80,159204,50119,35452,186125,524159,524159,-0.453,-0.781,0.294,60.0,0.0,0,0.0
16:23:36.079107,81,159185,50133,35415,186352,524159,524159,-0.414,-0.885,0.219,60.0,0.0,0,0.0
16:23:36.082279,82,159087,50286,35510,186864,524159,524159,-0.217,-1.008,0.103,60.0,0.0,0,0.0
16:23:36.268396,83,159102,50387,35573,187363,524159,524159,-0.181,-1.013,0.183,60.0,0.0,0,0.0
