*** New Session***
01-11-2021 16:11:52
Product Name: forerunnner 45
81722734 : Rx: [00][FF][FF][FF][86][02][9F][38]
81722984 : Rx: [00][FF][FF][FF][CF][06][A0][38]
81723218 : Rx: [80][FF][FF][FF][CF][06][A0][39]
81723468 : Rx: [80][FF][FF][FF][CF][06][A0][39]
81723718 : Rx: [80][FF][FF][FF][CF][06][A0][39]
81723968 : Rx: [80][FF][FF][FF][04][0B][A1][39]
81724203 : Rx fail
81724453 : Rx: [00][FF][FF][FF][04][0B][A1][38]
81724703 : Rx: [00][FF][FF][FF][04][0B][A1][38]
81724953 : Rx: [00][FF][FF][FF][04][0B][A1][38]
81725187 : Rx fail
81725437 : Rx: [80][FF][FF][FF][4D][0F][A2][38]
81725687 : Rx: [80][FF][FF][FF][4D][0F][A2][38]
81725937 : Rx: [80][FF][FF][FF][4D][0F][A2][38]
81726187 : Rx: [09][FD][FF][FF][96][13][A3][38]
81726421 : Rx: [09][FD][FF][FF][96][13][A3][38]
81726671 : Rx: [09][FD][FF][FF][96][13][A3][38]
81726921 : Rx: [09][FD][FF][FF][96][13][A3][38]
81727171 : Rx: [80][FF][FF][FF][DF][17][A4][38]
81727406 : Rx: [80][FF][FF][FF][DF][17][A4][38]
81727656 : Rx: [80][FF][FF][FF][DF][17][A4][38]
81727906 : Rx: [80][FF][FF][FF][DF][17][A4][38]
81728156 : Rx: [00][FF][FF][FF][DF][17][A4][37]
81728390 : Rx: [00][FF][FF][FF][3C][1C][A5][37]
81728640 : Rx: [00][FF][FF][FF][3C][1C][A5][37]
81728890 : Rx: [00][FF][FF][FF][3C][1C][A5][37]
81729140 : Rx: [80][FF][FF][FF][3C][1C][A5][37]
81729375 : Rx: [80][FF][FF][FF][99][20][A6][37]
81729625 : Rx: [80][FF][FF][FF][99][20][A6][37]
81729875 : Rx fail
81730125 : Rx: [00][FF][FF][FF][99][20][A6][37]
81730359 : Rx: [00][FF][FF][FF][99][20][A6][37]
81730609 : Rx: [00][FF][FF][FF][F6][24][A7][37]
81730859 : Rx: [00][FF][FF][FF][F6][24][A7][37]
81731109 : Rx: [80][FF][FF][FF][F6][24][A7][36]
81731359 : Rx: [80][FF][FF][FF][F6][24][A7][36]
81731593 : Rx: [80][FF][FF][FF][67][29][A8][36]
81731843 : Rx fail
81732093 : Rx: [00][FF][FF][FF][67][29][A8][36]
81732343 : Rx fail
81732578 : Rx fail
81732828 : Rx: [00][FF][FF][FF][D8][2D][A9][36]
81733078 : Rx fail
81733328 : Rx fail
81733562 : Rx: [80][FF][FF][FF][D8][2D][A9][36]
81733812 : Rx fail
81734062 : Rx: [00][FF][FF][FF][49][32][AA][36]
81734312 : Rx fail
81734546 : Rx: [00][FF][FF][FF][49][32][AA][35]
81734796 : Rx fail
81735046 : Rx: [80][FF][FF][FF][D0][36][AB][35]
81735296 : Rx fail
81735531 : Rx fail
81735781 : Rx: [80][FF][FF][FF][D0][36][AB][35]
81736031 : Rx: [00][FF][FF][FF][57][3B][AC][35]
81736281 : Rx fail
81736531 : Rx: [00][FF][FF][FF][57][3B][AC][35]
81736765 : Rx: [00][FF][FF][FF][57][3B][AC][35]
81737015 : Rx: [80][FF][FF][FF][57][3B][AC][35]
81737265 : Rx: [80][FF][FF][FF][DE][3F][AD][35]
81737515 : Rx: [80][FF][FF][FF][DE][3F][AD][35]
81737750 : Rx fail
81738000 : Rx: [00][FF][FF][FF][DE][3F][AD][35]
81738250 : Rx: [00][FF][FF][FF][65][44][AE][35]
81738500 : Rx: [00][FF][FF][FF][65][44][AE][35]
81738734 : Rx: [00][FF][FF][FF][65][44][AE][35]
81738984 : Rx: [80][FF][FF][FF][65][44][AE][35]
81739234 : Rx: [80][FF][FF][FF][65][44][AE][36]
81739484 : Rx: [80][FF][FF][FF][D6][48][AF][36]
81739718 : Rx: [80][FF][FF][FF][D6][48][AF][36]
81739968 : Rx: [00][FF][FF][FF][D6][48][AF][36]
81740218 : Rx: [00][FF][FF][FF][D6][48][AF][36]
81740468 : Rx: [00][FF][FF][FF][47][4D][B0][36]
81740718 : Rx: [00][FF][FF][FF][47][4D][B0][36]
81740953 : Rx: [80][FF][FF][FF][47][4D][B0][36]
81741203 : Rx: [80][FF][FF][FF][47][4D][B0][37]
81741453 : Rx: [80][FF][FF][FF][47][4D][B0][37]
81741687 : Rx fail
81741937 : Rx: [00][FF][FF][FF][A4][51][B1][37]
81742187 : Rx: [00][FF][FF][FF][A4][51][B1][37]
81742437 : Rx: [00][FF][FF][FF][A4][51][B1][37]
81742687 : Rx: [00][FF][FF][FF][01][56][B2][37]
81742921 : Rx fail
81743171 : Rx: [82][01][94][C8][01][56][B2][37]
81743421 : Rx: [82][01][94][C8][01][56][B2][37]
81743671 : Rx: [82][01][94][C8][01][56][B2][37]
81743906 : Rx fail
81744156 : Rx: [00][FF][FF][FF][5E][5A][B3][37]
81744406 : Rx: [00][FF][FF][FF][5E][5A][B3][37]
81744656 : Rx: [00][FF][FF][FF][5E][5A][B3][37]
81744890 : Rx: [80][FF][FF][FF][BB][5E][B4][37]
81745140 : Rx: [80][FF][FF][FF][BB][5E][B4][37]
81745390 : Rx: [80][FF][FF][FF][BB][5E][B4][37]
81745640 : Rx: [80][FF][FF][FF][BB][5E][B4][37]
81745875 : Rx: [00][FF][FF][FF][BB][5E][B4][37]
81746125 : Rx: [00][FF][FF][FF][18][63][B5][37]
81746375 : Rx: [00][FF][FF][FF][18][63][B5][37]
81746625 : Rx: [00][FF][FF][FF][18][63][B5][37]
81746875 : Rx: [80][FF][FF][FF][18][63][B5][37]
81747109 : Rx: [80][FF][FF][FF][61][67][B6][38]
81747359 : Rx: [80][FF][FF][FF][61][67][B6][38]
81747609 : Rx: [80][FF][FF][FF][61][67][B6][38]
81747859 : Rx: [00][FF][FF][FF][61][67][B6][38]
81748093 : Rx: [00][FF][FF][FF][96][6B][B7][39]
81748343 : Rx: [00][FF][FF][FF][96][6B][B7][39]
81748593 : Rx: [00][FF][FF][FF][96][6B][B7][39]
81748843 : Rx: [80][FF][FF][FF][96][6B][B7][39]
81749078 : Rx: [80][FF][FF][FF][CB][6F][B8][39]
81749328 : Rx: [80][FF][FF][FF][CB][6F][B8][3A]
81749578 : Rx: [80][FF][FF][FF][CB][6F][B8][3A]
81749828 : Rx fail
81750062 : Rx: [00][FF][FF][FF][CB][6F][B8][3B]
81750312 : Rx: [00][FF][FF][FF][DC][73][B9][3B]
81750562 : Rx: [00][FF][FF][FF][DC][73][B9][3B]
81750812 : Rx: [80][FF][FF][FF][DC][73][B9][3B]
81751046 : Rx: [80][FF][FF][FF][DC][73][B9][3B]
81751296 : Rx: [80][FF][FF][FF][DC][77][BA][3C]
81751546 : Rx: [80][FF][FF][FF][DC][77][BA][3C]
81751796 : Rx: [00][FF][FF][FF][DC][77][BA][3C]
81752046 : Rx fail
81752281 : Rx fail
81752531 : Rx: [00][FF][FF][FF][ED][7B][BB][3B]
81752781 : Rx fail
81753031 : Rx: [80][FF][FF][FF][ED][7B][BB][3B]
81753265 : Rx fail
81753515 : Rx fail
81753765 : Rx: [00][FF][FF][FF][10][80][BC][3A]
81754015 : Rx fail
81754250 : Rx fail
81754500 : Rx fail
81754750 : Rx fail
81755000 : Rx: [80][FF][FF][FF][45][84][BD][39]
81755234 : Rx: [80][FF][FF][FF][45][84][BD][38]
81755484 : Rx fail
81755734 : Rx: [00][FF][FF][FF][8E][88][BE][38]
81755984 : Rx fail
81756218 : Rx: [00][FF][FF][FF][8E][88][BE][38]
81756468 : Rx: [00][FF][FF][FF][D7][8C][BF][38]
81756718 : Rx: [80][FF][FF][FF][D7][8C][BF][38]
81756968 : Rx: [80][FF][FF][FF][D7][8C][BF][38]
81757218 : Rx: [80][FF][FF][FF][D7][8C][BF][38]
81757453 : Rx: [80][FF][FF][FF][20][91][C0][38]
81757703 : Rx: [00][FF][FF][FF][20][91][C0][38]
81757953 : Rx: [00][FF][FF][FF][20][91][C0][38]
81758203 : Rx: [00][FF][FF][FF][20][91][C0][38]
81758437 : Rx: [00][FF][FF][FF][20][91][C0][38]
81758687 : Rx: [80][FF][FF][FF][69][95][C1][38]
81758937 : Rx: [80][FF][FF][FF][69][95][C1][38]
81759187 : Rx: [80][FF][FF][FF][69][95][C1][37]
81759421 : Rx: [80][FF][FF][FF][69][95][C1][37]
81759671 : Rx: [03][FF][AE][FF][C6][99][C2][37]
81759921 : Rx: [03][FF][AE][FF][C6][99][C2][37]
81760171 : Rx fail
81760406 : Rx: [03][FF][AE][FF][C6][99][C2][37]
81760656 : Rx: [80][FF][FF][FF][C6][99][C2][37]
81760906 : Rx: [80][FF][FF][FF][23][9E][C3][37]
81761156 : Rx: [80][FF][FF][FF][23][9E][C3][36]
81761390 : Rx fail
81761640 : Rx: [00][FF][FF][FF][23][9E][C3][36]
81761890 : Rx: [00][FF][FF][FF][94][A2][C4][36]
81762140 : Rx fail
81762375 : Rx: [00][FF][FF][FF][94][A2][C4][37]
81762625 : Rx: [80][FF][FF][FF][94][A2][C4][37]
81762875 : Rx: [80][FF][FF][FF][F1][A6][C5][37]
81763125 : Rx: [80][FF][FF][FF][F1][A6][C5][37]
81763375 : Rx: [80][FF][FF][FF][F1][A6][C5][37]
81763609 : Rx: [00][FF][FF][FF][F1][A6][C5][37]
81763859 : Rx: [00][FF][FF][FF][F1][A6][C5][37]
81764109 : Rx: [00][FF][FF][FF][62][AB][C6][36]
81764359 : Rx: [00][FF][FF][FF][62][AB][C6][36]
81764593 : Rx: [80][FF][FF][FF][62][AB][C6][36]
81764843 : Rx: [80][FF][FF][FF][62][AB][C6][36]
81765093 : Rx fail
81765343 : Rx: [80][FF][FF][FF][E9][AF][C7][35]
81765578 : Rx: [00][FF][FF][FF][E9][AF][C7][35]
81765828 : Rx: [00][FF][FF][FF][E9][AF][C7][35]
81766078 : Rx: [00][FF][FF][FF][E9][AF][C7][34]
81766328 : Rx: [00][FF][FF][FF][86][B4][C8][34]
81766562 : Rx: [80][FF][FF][FF][86][B4][C8][34]
81766812 : Rx: [80][FF][FF][FF][86][B4][C8][34]
81767062 : Rx: [80][FF][FF][FF][86][B4][C8][35]
81767312 : Rx: [80][FF][FF][FF][86][B4][C8][35]
81767562 : Rx: [00][FF][FF][FF][0D][B9][C9][35]
81767796 : Rx: [00][FF][FF][FF][0D][B9][C9][35]
81768046 : Rx: [00][FF][FF][FF][0D][B9][C9][35]
81768296 : Rx: [00][FF][FF][FF][0D][B9][C9][35]
81768546 : Rx: [80][FF][FF][FF][94][BD][CA][35]
81768781 : Rx: [80][FF][FF][FF][94][BD][CA][35]
81769031 : Rx: [80][FF][FF][FF][94][BD][CA][35]
81769281 : Rx: [80][FF][FF][FF][94][BD][CA][35]
81769531 : Rx: [00][FF][FF][FF][94][BD][CA][35]
81769765 : Rx: [00][FF][FF][FF][1B][C2][CB][35]
81770015 : Rx: [00][FF][FF][FF][1B][C2][CB][35]
81770265 : Rx: [00][FF][FF][FF][1B][C2][CB][34]
81770515 : Rx: [80][FF][FF][FF][1B][C2][CB][34]
81770750 : Rx: [80][FF][FF][FF][1B][C2][CB][34]
81771000 : Rx: [80][FF][FF][FF][B8][C6][CC][34]
81771250 : Rx: [80][FF][FF][FF][B8][C6][CC][33]
81771500 : Rx: [00][FF][FF][FF][B8][C6][CC][33]
81771734 : Rx: [00][FF][FF][FF][B8][C6][CC][33]
81771984 : Rx: [00][FF][FF][FF][B8][C6][CC][33]
81772234 : Rx: [00][FF][FF][FF][6C][CB][CD][33]
81772484 : Rx fail
81772734 : Rx: [80][FF][FF][FF][6C][CB][CD][33]
81772968 : Rx: [80][FF][FF][FF][6C][CB][CD][33]
81773218 : Rx: [80][FF][FF][FF][20][D0][CE][33]
81773468 : Rx: [00][FF][FF][FF][20][D0][CE][33]
81773718 : Rx fail
81773953 : Rx: [00][FF][FF][FF][20][D0][CE][33]
81774203 : Rx: [00][FF][FF][FF][20][D0][CE][34]
81774453 : Rx fail
81774703 : Rx fail
81774937 : Rx: [80][FF][FF][FF][BD][D4][CF][34]
81775187 : Rx fail
81775437 : Rx fail
81775687 : Rx: [00][FF][FF][FF][5A][D9][D0][34]
81775921 : Rx fail
81776171 : Rx: [00][FF][FF][FF][5A][D9][D0][33]
81776421 : Rx fail
81776671 : Rx: [89][FD][FF][FF][0E][DE][D1][33]
81776906 : Rx: [89][FD][FF][FF][0E][DE][D1][33]
81777156 : Rx: [89][FD][FF][FF][0E][DE][D1][33]
81777406 : Rx: [00][FF][FF][FF][0E][DE][D1][33]
81777656 : Rx: [00][FF][FF][FF][0E][DE][D1][33]
81777906 : Rx: [00][FF][FF][FF][C2][E2][D2][33]
81778140 : Rx: [00][FF][FF][FF][C2][E2][D2][33]
81778390 : Rx: [80][FF][FF][FF][C2][E2][D2][33]
81778640 : Rx: [80][FF][FF][FF][C2][E2][D2][33]
81778890 : Rx: [80][FF][FF][FF][C2][E2][D2][33]
81779125 : Rx: [80][FF][FF][FF][76][E7][D3][33]
81779375 : Rx: [00][FF][FF][FF][76][E7][D3][33]
81779625 : Rx: [00][FF][FF][FF][76][E7][D3][33]
81779875 : Rx: [00][FF][FF][FF][76][E7][D3][33]
81780109 : Rx: [00][FF][FF][FF][76][E7][D3][33]
81780359 : Rx: [80][FF][FF][FF][2A][EC][D4][33]
81780609 : Rx: [80][FF][FF][FF][2A][EC][D4][33]
81780859 : Rx: [80][FF][FF][FF][2A][EC][D4][33]
81781093 : Rx: [80][FF][FF][FF][2A][EC][D4][33]
81781343 : Rx: [00][FF][FF][FF][2A][EC][D4][33]
81781593 : Rx: [00][FF][FF][FF][DE][F0][D5][33]
81781843 : Rx: [00][FF][FF][FF][DE][F0][D5][33]
81782078 : Rx: [00][FF][FF][FF][DE][F0][D5][33]
81782328 : Rx: [80][FF][FF][FF][DE][F0][D5][33]
81782578 : Rx fail
81782828 : Rx: [80][FF][FF][FF][92][F5][D6][33]
81783078 : Rx: [80][FF][FF][FF][92][F5][D6][33]
81783312 : Rx: [00][FF][FF][FF][92][F5][D6][33]
81783562 : Rx: [00][FF][FF][FF][92][F5][D6][33]
81783812 : Rx: [00][FF][FF][FF][46][FA][D7][33]
81784062 : Rx: [00][FF][FF][FF][46][FA][D7][34]
81784296 : Rx: [80][FF][FF][FF][46][FA][D7][34]
81784546 : Rx: [80][FF][FF][FF][46][FA][D7][34]
81784796 : Rx: [80][FF][FF][FF][46][FA][D7][34]
81785046 : Rx: [80][FF][FF][FF][FA][FE][D8][33]
81785281 : Rx: [00][FF][FF][FF][FA][FE][D8][33]
81785531 : Rx: [00][FF][FF][FF][FA][FE][D8][33]
81785781 : Rx: [00][FF][FF][FF][FA][FE][D8][33]
81786031 : Rx: [00][FF][FF][FF][FA][FE][D8][33]
81786265 : Rx: [80][FF][FF][FF][AE][03][D9][33]
81786515 : Rx: [80][FF][FF][FF][AE][03][D9][33]
81786765 : Rx: [80][FF][FF][FF][AE][03][D9][33]
81787015 : Rx: [80][FF][FF][FF][AE][03][D9][33]
81787250 : Rx: [00][FF][FF][FF][62][08][DA][33]
81787500 : Rx: [00][FF][FF][FF][62][08][DA][33]
81787750 : Rx: [00][FF][FF][FF][62][08][DA][33]
81788000 : Rx: [00][FF][FF][FF][62][08][DA][33]
81788234 : Rx: [80][FF][FF][FF][62][08][DA][33]
81788484 : Rx: [80][FF][FF][FF][16][0D][DB][33]
81788734 : Rx: [80][FF][FF][FF][16][0D][DB][33]
81788984 : Rx: [80][FF][FF][FF][16][0D][DB][33]
81789234 : Rx: [00][FF][FF][FF][16][0D][DB][33]
81789468 : Rx: [00][FF][FF][FF][16][0D][DB][33]
81789718 : Rx: [00][FF][FF][FF][CA][11][DC][33]
81789968 : Rx: [00][FF][FF][FF][CA][11][DC][33]
81790218 : Rx fail
81790453 : Rx: [80][FF][FF][FF][CA][11][DC][32]
81790703 : Rx: [80][FF][FF][FF][CA][11][DC][32]
81790953 : Rx: [80][FF][FF][FF][96][16][DD][32]
