*** New Session***
10-11-2021 09:05:00
Product Name: forerunner
87627781 : Rx: [00][FF][FF][FF][5A][88][8A][49]
87628031 : Rx: [00][FF][FF][FF][A3][8B][8B][49]
87628281 : Rx: [80][FF][FF][FF][A3][8B][8B][49]
87628531 : Rx: [80][FF][FF][FF][A3][8B][8B][49]
87628765 : Rx: [80][FF][FF][FF][04][8F][8C][47]
87629015 : Rx: [80][FF][FF][FF][04][8F][8C][47]
87629265 : Rx: [00][FF][FF][FF][04][8F][8C][47]
87629515 : Rx fail
87629750 : Rx: [00][FF][FF][FF][71][92][8D][46]
87630000 : Rx: [00][FF][FF][FF][71][92][8D][46]
87630250 : Rx: [80][FF][FF][FF][71][92][8D][46]
87630500 : Rx: [80][FF][FF][FF][DE][95][8E][46]
87630750 : Rx: [80][FF][FF][FF][DE][95][8E][46]
87630984 : Rx fail
87631234 : Rx fail
87631484 : Rx: [00][FF][FF][FF][4B][99][8F][46]
87631734 : Rx fail
87631968 : Rx: [00][FF][FF][FF][4B][99][8F][46]
87632218 : Rx fail
87632468 : Rx fail
87632718 : Rx: [80][FF][FF][FF][B8][9C][90][47]
87632953 : Rx fail
87633203 : Rx: [00][FF][FF][FF][19][A0][91][47]
87633453 : Rx fail
87633703 : Rx: [00][FF][FF][FF][19][A0][91][47]
87633937 : Rx fail
87634187 : Rx: [80][FF][FF][FF][7A][A3][92][47]
87634437 : Rx: [80][FF][FF][FF][7A][A3][92][47]
87634687 : Rx: [80][FF][FF][FF][DB][A6][93][47]
87634921 : Rx: [80][FF][FF][FF][DB][A6][93][47]
87635171 : Rx: [03][FF][AE][FF][DB][A6][93][47]
87635421 : Rx fail
87635671 : Rx: [03][FF][AE][FF][3C][AA][94][47]
87635921 : Rx: [03][FF][AE][FF][3C][AA][94][47]
87636156 : Rx: [80][FF][FF][FF][3C][AA][94][47]
87636406 : Rx: [80][FF][FF][FF][9D][AD][95][47]
87636656 : Rx: [80][FF][FF][FF][9D][AD][95][47]
87636906 : Rx: [80][FF][FF][FF][9D][AD][95][47]
87637140 : Rx: [00][FF][FF][FF][9D][AD][95][47]
87637390 : Rx: [00][FF][FF][FF][FE][B0][96][47]
87637640 : Rx: [00][FF][FF][FF][FE][B0][96][47]
87637890 : Rx: [00][FF][FF][FF][FE][B0][96][47]
87638125 : Rx: [80][FF][FF][FF][5F][B4][97][47]
87638375 : Rx: [80][FF][FF][FF][5F][B4][97][47]
87638625 : Rx: [80][FF][FF][FF][5F][B4][97][47]
87638875 : Rx: [80][FF][FF][FF][5F][B4][97][47]
87639109 : Rx: [00][FF][FF][FF][C0][B7][98][47]
87639359 : Rx: [00][FF][FF][FF][C0][B7][98][47]
87639609 : Rx: [00][FF][FF][FF][C0][B7][98][47]
87639859 : Rx: [00][FF][FF][FF][21][BB][99][47]
87640109 : Rx: [80][FF][FF][FF][21][BB][99][47]
87640343 : Rx: [80][FF][FF][FF][21][BB][99][47]
87640593 : Rx: [80][FF][FF][FF][82][BE][9A][47]
87640843 : Rx: [80][FF][FF][FF][82][BE][9A][47]
87641093 : Rx: [00][FF][FF][FF][82][BE][9A][47]
87641328 : Rx: [00][FF][FF][FF][82][BE][9A][47]
87641578 : Rx: [00][FF][FF][FF][E3][C1][9B][47]
87641828 : Rx: [00][FF][FF][FF][E3][C1][9B][47]
87642078 : Rx: [80][FF][FF][FF][E3][C1][9B][47]
87642312 : Rx: [80][FF][FF][FF][44][C5][9C][47]
87642562 : Rx: [80][FF][FF][FF][44][C5][9C][47]
87642812 : Rx fail
87643062 : Rx: [00][FF][FF][FF][44][C5][9C][48]
87643296 : Rx: [00][FF][FF][FF][99][C8][9D][48]
87643546 : Rx: [00][FF][FF][FF][99][C8][9D][48]
87643796 : Rx: [00][FF][FF][FF][99][C8][9D][48]
87644046 : Rx: [80][FF][FF][FF][EE][CB][9E][48]
87644281 : Rx: [80][FF][FF][FF][EE][CB][9E][48]
87644531 : Rx fail
87644781 : Rx: [80][FF][FF][FF][2C][CF][9F][4A]
87645031 : Rx: [00][FF][FF][FF][2C][CF][9F][4A]
87645265 : Rx: [00][FF][FF][FF][2C][CF][9F][4A]
87645515 : Rx: [00][FF][FF][FF][2C][CF][9F][4A]
87645765 : Rx: [00][FF][FF][FF][6A][D2][A0][4A]
87646015 : Rx: [80][FF][FF][FF][6A][D2][A0][4A]
87646250 : Rx: [80][FF][FF][FF][6A][D2][A0][4A]
87646500 : Rx: [80][FF][FF][FF][A8][D5][A1][4A]
87646750 : Rx: [80][FF][FF][FF][A8][D5][A1][4A]
