*** New Session***
10-11-2021 11:02:35
Product Name: HRM-Pro
94682875 : Rx: [04][00][46][50][42][53][74][51]
94683125 : Rx: [04][00][46][50][42][53][74][51]
94683359 : Rx: [04][00][46][50][42][53][74][51]
94683609 : Rx: [04][00][42][53][4B][56][75][50]
94683859 : Rx: [84][00][42][53][4B][56][75][50]
94684109 : Rx: [84][00][42][53][4B][56][75][50]
94684343 : Rx: [84][00][4B][56][8C][59][76][4F]
94684593 : Rx: [F9][52][01][FF][8C][59][76][4F]
94684843 : Rx: [04][00][4B][56][8C][59][76][4F]
94685093 : Rx fail
94685328 : Rx: [04][00][8C][59][ED][5C][77][4D]
94685578 : Rx: [04][00][8C][59][ED][5C][77][4D]
94685828 : Rx: [84][00][8C][59][ED][5C][77][4D]
94686078 : Rx: [84][00][ED][5C][FF][5F][78][4B]
94686328 : Rx: [84][00][ED][5C][FF][5F][78][4B]
94686562 : Rx: [84][00][ED][5C][FF][5F][78][4B]
94686812 : Rx: [04][00][FF][5F][4B][63][79][4A]
94687062 : Rx: [04][00][FF][5F][4B][63][79][4A]
94687312 : Rx: [04][00][FF][5F][4B][63][79][4A]
94687546 : Rx: [04][00][FF][5F][4B][63][79][4A]
94687796 : Rx: [F9][14][3D][42][A8][66][7A][49]
94688046 : Rx: [84][00][4B][63][A8][66][7A][49]
94688296 : Rx: [84][00][4B][63][A8][66][7A][49]
94688531 : Rx: [84][00][A8][66][B5][69][7B][49]
94688781 : Rx: [04][00][A8][66][B5][69][7B][49]
94689031 : Rx: [04][00][A8][66][B5][69][7B][49]
94689281 : Rx: [04][00][B5][69][CE][6C][7C][4B]
94689515 : Rx: [04][00][B5][69][CE][6C][7C][4B]
94689765 : Rx: [84][00][B5][69][CE][6C][7C][4B]
94690015 : Rx: [84][00][CE][6C][EA][6F][7D][4C]
94690265 : Rx: [84][00][CE][6C][EA][6F][7D][4C]
94690500 : Rx: [84][00][CE][6C][EA][6F][7D][4C]
94690750 : Rx: [04][00][EA][6F][E3][72][7E][4D]
94691000 : Rx: [79][42][65][02][E3][72][7E][4D]
94691250 : Rx fail
94691500 : Rx: [04][00][E3][72][F8][75][7F][4D]
94691734 : Rx: [84][00][E3][72][F8][75][7F][4D]
94691984 : Rx: [84][00][E3][72][F8][75][7F][4D]
94692234 : Rx: [84][00][F8][75][23][79][80][4E]
94692484 : Rx: [84][00][F8][75][23][79][80][4E]
94692718 : Rx: [04][00][F8][75][23][79][80][4E]
94692968 : Rx fail
94693218 : Rx: [04][00][23][79][55][7C][81][4D]
94693468 : Rx: [04][00][23][79][55][7C][81][4D]
94693703 : Rx: [84][00][23][79][55][7C][81][4D]
94693953 : Rx: [84][00][55][7C][5E][7F][82][4C]
94694203 : Rx: [F9][42][E2][03][5E][7F][82][4C]
94694453 : Rx: [84][00][55][7C][5E][7F][82][4C]
94694687 : Rx: [04][00][5E][7F][98][82][83][4C]
94694937 : Rx: [04][00][5E][7F][98][82][83][4C]
94695187 : Rx: [04][00][5E][7F][98][82][83][4C]
94695437 : Rx: [04][00][98][82][F4][85][84][4B]
94695671 : Rx: [84][00][98][82][F4][85][84][4B]
94695921 : Rx: [84][00][98][82][F4][85][84][4B]
94696171 : Rx: [84][00][98][82][F4][85][84][4B]
94696421 : Rx: [84][00][F4][85][14][89][85][4B]
94696656 : Rx: [04][00][F4][85][14][89][85][4B]
94696906 : Rx: [04][00][F4][85][14][89][85][4B]
94697156 : Rx: [04][00][14][89][2C][8C][86][4C]
94697406 : Rx: [79][42][62][02][2C][8C][86][4C]
94697656 : Rx: [89][FC][FF][FF][2C][8C][86][4C]
94697890 : Rx: [89][FC][FF][FF][7B][8F][87][4C]
94698140 : Rx: [89][FC][FF][FF][7B][8F][87][4C]
94698390 : Rx: [89][FC][FF][FF][7B][8F][87][4C]
94698640 : Rx: [04][00][2C][8C][7B][8F][87][4C]
94698875 : Rx: [04][00][7B][8F][BF][92][88][4B]
94699125 : Rx: [04][00][7B][8F][BF][92][88][4B]
94699375 : Rx: [04][00][7B][8F][BF][92][88][4B]
94699625 : Rx: [84][00][BF][92][0B][96][89][4A]
94699859 : Rx: [84][00][BF][92][0B][96][89][4A]
94700109 : Rx fail
94700359 : Rx: [84][00][0B][96][1A][99][8A][4A]
94700609 : Rx: [79][52][01][02][1A][99][8A][4A]
94700843 : Rx: [04][00][0B][96][1A][99][8A][4A]
94701093 : Rx: [04][00][1A][99][2A][9C][8B][4C]
94701343 : Rx: [04][00][1A][99][2A][9C][8B][4C]
94701593 : Rx: [84][00][1A][99][2A][9C][8B][4C]
94701828 : Rx: [84][00][2A][9C][5F][9F][8C][4D]
94702078 : Rx: [84][00][2A][9C][5F][9F][8C][4D]
94702328 : Rx: [84][00][2A][9C][5F][9F][8C][4D]
94702578 : Rx: [04][00][2A][9C][5F][9F][8C][4D]
94702828 : Rx: [04][00][5F][9F][56][A2][8D][4E]
94703062 : Rx: [04][00][5F][9F][56][A2][8D][4E]
94703312 : Rx: [04][00][5F][9F][56][A2][8D][4E]
94703562 : Rx: [84][00][56][A2][75][A5][8E][4D]
94703812 : Rx: [F9][42][4F][02][75][A5][8E][4D]
94704046 : Rx: [84][00][56][A2][75][A5][8E][4D]
94704296 : Rx: [84][00][75][A5][7C][A8][8F][4E]
94704546 : Rx: [04][00][75][A5][7C][A8][8F][4E]
94704796 : Rx: [04][00][75][A5][7C][A8][8F][4E]
94705031 : Rx: [04][00][7C][A8][A5][AB][90][4E]
94705281 : Rx: [04][00][7C][A8][A5][AB][90][4E]
94705531 : Rx fail
94705781 : Rx: [84][00][A5][AB][B0][AE][91][4E]
94706015 : Rx: [84][00][A5][AB][B0][AE][91][4E]
94706265 : Rx: [84][00][A5][AB][B0][AE][91][4E]
94706515 : Rx fail
94706765 : Rx: [04][00][B0][AE][A3][B1][92][4F]
94707000 : Rx: [79][42][49][02][A3][B1][92][4F]
94707250 : Rx: [04][00][A3][B1][C5][B4][93][4F]
94707500 : Rx fail
94707750 : Rx: [84][00][A3][B1][C5][B4][93][4F]
94708000 : Rx: [84][00][C5][B4][F0][B7][94][4E]
94708234 : Rx: [84][00][C5][B4][F0][B7][94][4E]
94708484 : Rx: [04][00][C5][B4][F0][B7][94][4E]
94708734 : Rx fail
94708984 : Rx: [04][00][F0][B7][F3][BA][95][4D]
94709218 : Rx: [04][00][F0][B7][F3][BA][95][4D]
94709468 : Rx: [84][00][F3][BA][E2][BD][96][4E]
94709718 : Rx: [84][00][F3][BA][E2][BD][96][4E]
94709968 : Rx: [84][00][F3][BA][E2][BD][96][4E]
94710203 : Rx: [F9][42][34][02][E0][C0][97][4F]
94710453 : Rx fail
94710703 : Rx: [04][00][E2][BD][E0][C0][97][4F]
94710953 : Rx: [04][00][E2][BD][E0][C0][97][4F]
94711187 : Rx fail
94711437 : Rx: [84][00][E0][C0][D0][C3][98][51]
94711687 : Rx: [84][00][D0][C3][98][C6][99][51]
94711937 : Rx: [84][00][D0][C3][98][C6][99][51]
94712187 : Rx: [84][00][D0][C3][98][C6][99][51]
94712421 : Rx: [04][00][98][C6][70][C9][9A][53]
94712671 : Rx: [04][00][98][C6][70][C9][9A][53]
94712921 : Rx: [04][00][98][C6][70][C9][9A][53]
94713171 : Rx: [04][00][70][C9][2F][CC][9B][55]
94713406 : Rx: [84][00][70][C9][2F][CC][9B][55]
94713656 : Rx fail
94713906 : Rx: [84][00][2F][CC][10][CF][9C][54]
94714156 : Rx: [84][00][2F][CC][10][CF][9C][54]
94714390 : Rx: [01][3A][7F][8C][C1][D1][9D][56]
94714640 : Rx: [01][3A][7F][8C][C1][D1][9D][56]
94714890 : Rx: [01][3A][7F][8C][C1][D1][9D][56]
94715140 : Rx: [01][3A][7F][8C][7A][D4][9E][57]
94715375 : Rx fail
94715625 : Rx: [84][00][C1][D1][7A][D4][9E][57]
94715875 : Rx: [84][00][7A][D4][42][D7][9F][58]
94716125 : Rx: [84][00][7A][D4][42][D7][9F][58]
94716359 : Rx fail
94716609 : Rx fail
94716859 : Rx: [04][00][42][D7][0B][DA][A0][57]
94717109 : Rx: [04][00][42][D7][0B][DA][A0][57]
94717343 : Rx: [84][00][0B][DA][C9][DC][A1][57]
94717593 : Rx: [84][00][0B][DA][C9][DC][A1][57]
94717843 : Rx: [84][00][C9][DC][8B][DF][A2][57]
94718093 : Rx: [84][00][C9][DC][8B][DF][A2][57]
94718328 : Rx: [04][00][C9][DC][8B][DF][A2][57]
94718578 : Rx: [04][00][8B][DF][51][E2][A3][57]
94718828 : Rx: [04][00][8B][DF][51][E2][A3][57]
94719078 : Rx: [04][00][8B][DF][51][E2][A3][57]
94719312 : Rx fail
94719562 : Rx: [84][00][51][E2][18][E5][A4][57]
94719812 : Rx: [F9][51][17][0C][18][E5][A4][57]
94720062 : Rx: [84][00][18][E5][E3][E7][A5][57]
94720312 : Rx: [04][00][18][E5][E3][E7][A5][57]
94720546 : Rx: [04][00][18][E5][E3][E7][A5][57]
94720796 : Rx: [04][00][E3][E7][B3][EA][A6][56]
94721046 : Rx: [04][00][E3][E7][B3][EA][A6][56]
94721296 : Rx: [84][00][B3][EA][91][ED][A7][56]
94721531 : Rx: [84][00][B3][EA][91][ED][A7][56]
94721781 : Rx: [84][00][B3][EA][91][ED][A7][56]
94722031 : Rx fail
94722281 : Rx: [04][00][91][ED][7E][F0][A8][55]
94722515 : Rx: [04][00][91][ED][7E][F0][A8][55]
94722765 : Rx: [04][00][7E][F0][78][F3][A9][53]
94723015 : Rx: [79][47][FF][0F][78][F3][A9][53]
94723265 : Rx: [84][00][7E][F0][78][F3][A9][53]
94723515 : Rx: [84][00][7E][F0][78][F3][A9][53]
94723750 : Rx: [84][00][78][F3][70][F6][AA][52]
94724000 : Rx fail
94724250 : Rx: [04][00][78][F3][70][F6][AA][52]
94724500 : Rx fail
94724734 : Rx: [04][00][70][F6][54][F9][AB][52]
94724984 : Rx: [04][00][70][F6][54][F9][AB][52]
94725234 : Rx: [84][00][54][F9][10][FC][AC][52]
94725484 : Rx: [84][00][54][F9][10][FC][AC][52]
94725718 : Rx: [84][00][10][FC][AB][FE][AD][55]
94725968 : Rx: [84][00][10][FC][AB][FE][AD][55]
94726218 : Rx: [79][52][01][03][AB][FE][AD][55]
94726468 : Rx: [04][00][AB][FE][2B][01][AE][58]
94726703 : Rx: [04][00][AB][FE][2B][01][AE][58]
94726953 : Rx: [04][00][2B][01][A1][03][AF][5B]
94727203 : Rx: [84][00][2B][01][A1][03][AF][5B]
94727453 : Rx: [84][00][2B][01][A1][03][AF][5B]
94727687 : Rx: [84][00][A1][03][28][06][B0][5E]
94727937 : Rx fail
94728187 : Rx: [04][00][28][06][CF][08][B1][5E]
94728437 : Rx: [04][00][28][06][CF][08][B1][5E]
94728687 : Rx: [04][00][28][06][CF][08][B1][5E]
94728921 : Rx fail
94729171 : Rx: [84][00][CF][08][7F][0B][B2][5C]
94729421 : Rx: [F9][42][2A][03][7F][0B][B2][5C]
94729671 : Rx: [84][00][7F][0B][57][0E][B3][5B]
94729906 : Rx fail
94730156 : Rx fail
94730406 : Rx: [04][00][57][0E][94][11][B4][5B]
94730656 : Rx fail
94730890 : Rx: [04][00][57][0E][94][11][B4][5B]
94731140 : Rx: [82][01][CE][C8][BA][14][B5][5A]
94731390 : Rx: [82][01][CE][C8][BA][14][B5][5A]
94731640 : Rx fail
94731875 : Rx: [82][01][CE][C8][07][18][B6][58]
94732125 : Rx: [04][00][BA][14][07][18][B6][58]
94732375 : Rx: [04][00][BA][14][07][18][B6][58]
94732625 : Rx: [79][42][0E][04][07][18][B6][58]
94732859 : Rx: [04][00][07][18][82][1B][B7][56]
94733109 : Rx: [84][00][07][18][82][1B][B7][56]
94733359 : Rx: [84][00][07][18][82][1B][B7][56]
94733609 : Rx: [84][00][07][18][82][1B][B7][56]
94733843 : Rx: [84][00][82][1B][E6][1E][B8][55]
94734093 : Rx: [04][00][82][1B][E6][1E][B8][55]
94734343 : Rx: [04][00][82][1B][E6][1E][B8][55]
94734593 : Rx: [04][00][E6][1E][F5][21][B9][53]
94734843 : Rx fail
94735078 : Rx: [84][00][E6][1E][F5][21][B9][53]
94735328 : Rx fail
94735578 : Rx fail
94735828 : Rx: [84][00][F5][21][08][25][BA][51]
94736062 : Rx: [04][00][08][25][10][28][BB][50]
94736312 : Rx: [04][00][08][25][10][28][BB][50]
94736562 : Rx: [04][00][08][25][10][28][BB][50]
94736812 : Rx: [04][00][10][28][EE][2A][BC][4F]
94737046 : Rx: [84][00][10][28][EE][2A][BC][4F]
94737296 : Rx: [84][00][10][28][EE][2A][BC][4F]
94737546 : Rx: [84][00][EE][2A][D6][2D][BD][51]
94737796 : Rx fail
94738031 : Rx: [04][00][EE][2A][D6][2D][BD][51]
94738281 : Rx fail
94738531 : Rx fail
94738781 : Rx fail
94739015 : Rx: [F9][42][60][02][E8][33][BF][51]
94739265 : Rx fail
94739515 : Rx fail
94739765 : Rx: [84][00][E8][33][F4][36][C0][50]
94740015 : Rx fail
94740250 : Rx: [04][00][E8][33][F4][36][C0][50]
94740500 : Rx: [04][00][F4][36][EC][39][C1][4F]
94740750 : Rx fail
94741000 : Rx: [84][00][F4][36][EC][39][C1][4F]
94741234 : Rx: [84][00][EC][39][E1][3C][C2][50]
94741484 : Rx fail
94741734 : Rx: [84][00][EC][39][E1][3C][C2][50]
94741984 : Rx: [04][00][E1][3C][CB][3F][C3][51]
94742218 : Rx: [04][00][E1][3C][CB][3F][C3][51]
94742468 : Rx: [04][00][E1][3C][CB][3F][C3][51]
94742718 : Rx: [04][00][CB][3F][E0][42][C4][51]
94742968 : Rx: [84][00][CB][3F][E0][42][C4][51]
94743203 : Rx: [84][00][CB][3F][E0][42][C4][51]
94743453 : Rx: [84][00][E0][42][26][46][C5][4F]
94743703 : Rx: [84][00][E0][42][26][46][C5][4F]
94743953 : Rx: [04][00][E0][42][26][46][C5][4F]
94744187 : Rx: [04][00][E0][42][26][46][C5][4F]
94744437 : Rx: [04][00][26][46][74][49][C6][4D]
94744687 : Rx: [04][00][26][46][74][49][C6][4D]
94744937 : Rx: [84][00][26][46][74][49][C6][4D]
94745187 : Rx: [84][00][74][49][BC][4C][C7][4B]
94745421 : Rx fail
94745671 : Rx fail
94745921 : Rx: [04][00][74][49][BC][4C][C7][4B]
94746171 : Rx: [04][00][BC][4C][D5][4F][C8][4A]
94746406 : Rx: [04][00][BC][4C][D5][4F][C8][4A]
94746656 : Rx: [04][00][BC][4C][D5][4F][C8][4A]
94746906 : Rx: [84][00][D5][4F][FA][52][C9][4B]
94747156 : Rx: [84][00][D5][4F][FA][52][C9][4B]
94747390 : Rx fail
94747640 : Rx: [84][00][FA][52][3B][56][CA][4C]
94747890 : Rx: [03][42][47][13][3B][56][CA][4C]
94748140 : Rx: [03][42][47][13][3B][56][CA][4C]
94748375 : Rx: [03][42][47][13][94][59][CB][4B]
94748625 : Rx: [03][42][47][13][94][59][CB][4B]
94748875 : Rx: [84][00][3B][56][94][59][CB][4B]
94749125 : Rx: [84][00][3B][56][94][59][CB][4B]
94749359 : Rx: [84][00][94][59][D0][5C][CC][4A]
94749609 : Rx: [84][00][94][59][D0][5C][CC][4A]
94749859 : Rx: [04][00][94][59][D0][5C][CC][4A]
94750109 : Rx fail
94750359 : Rx: [04][00][D0][5C][D6][5F][CD][4A]
94750593 : Rx: [04][00][D0][5C][D6][5F][CD][4A]
94750843 : Rx: [84][00][D6][5F][BD][62][CE][4D]
94751093 : Rx: [84][00][D6][5F][BD][62][CE][4D]
94751343 : Rx: [84][00][D6][5F][BD][62][CE][4D]
94751578 : Rx: [84][00][BD][62][98][65][CF][4F]
94751828 : Rx: [79][52][01][04][98][65][CF][4F]
94752078 : Rx fail
94752328 : Rx: [04][00][98][65][72][68][D0][52]
94752562 : Rx: [04][00][98][65][72][68][D0][52]
94752812 : Rx: [84][00][98][65][72][68][D0][52]
94753062 : Rx: [84][00][72][68][93][6B][D1][53]
94753312 : Rx: [84][00][72][68][93][6B][D1][53]
94753546 : Rx: [84][00][72][68][93][6B][D1][53]
94753796 : Rx fail
94754046 : Rx: [04][00][93][6B][F6][6E][D2][50]
94754296 : Rx: [04][00][93][6B][F6][6E][D2][50]
94754531 : Rx: [04][00][F6][6E][37][72][D3][4E]
94754781 : Rx fail
94755031 : Rx: [F9][42][54][02][37][72][D3][4E]
94755281 : Rx: [84][00][F6][6E][37][72][D3][4E]
94755515 : Rx: [84][00][37][72][79][75][D4][4C]
94755765 : Rx: [04][00][37][72][79][75][D4][4C]
94756015 : Rx fail
94756265 : Rx fail
94756515 : Rx: [04][00][79][75][D6][78][D5][4B]
94756750 : Rx: [84][00][79][75][D6][78][D5][4B]
94757000 : Rx: [84][00][79][75][D6][78][D5][4B]
94757250 : Rx fail
94757500 : Rx: [84][00][D6][78][15][7C][D6][4A]
94757734 : Rx: [04][00][D6][78][15][7C][D6][4A]
94757984 : Rx: [04][00][15][7C][4B][7F][D7][4A]
94758234 : Rx: [79][42][58][02][4B][7F][D7][4A]
94758484 : Rx fail
94758718 : Rx: [84][00][4B][7F][5E][82][D8][4A]
94758968 : Rx: [84][00][4B][7F][5E][82][D8][4A]
94759218 : Rx: [84][00][4B][7F][5E][82][D8][4A]
94759468 : Rx: [84][00][5E][82][66][85][D9][4C]
94759703 : Rx fail
94759953 : Rx: [04][00][5E][82][66][85][D9][4C]
94760203 : Rx fail
94760453 : Rx fail
94760687 : Rx: [84][00][66][85][65][88][DA][4E]
94760937 : Rx: [84][00][65][88][7E][8B][DB][4E]
94761187 : Rx fail
94761437 : Rx: [84][00][65][88][7E][8B][DB][4E]
94761687 : Rx: [04][00][7E][8B][B3][8E][DC][4E]
94761921 : Rx fail
94762171 : Rx: [04][00][7E][8B][B3][8E][DC][4E]
94762421 : Rx: [04][00][B3][8E][0C][92][DD][4C]
94762671 : Rx: [84][00][B3][8E][0C][92][DD][4C]
94762906 : Rx: [84][00][B3][8E][0C][92][DD][4C]
94763156 : Rx: [84][00][B3][8E][0C][92][DD][4C]
94763406 : Rx: [84][00][0C][92][34][95][DE][4C]
94763656 : Rx: [04][00][0C][92][34][95][DE][4C]
94763890 : Rx: [04][00][0C][92][34][95][DE][4C]
94764140 : Rx: [04][00][34][95][90][98][DF][4A]
94764390 : Rx: [04][00][34][95][90][98][DF][4A]
94764640 : Rx: [86][FF][87][80][90][98][DF][4A]
94764875 : Rx: [86][FF][87][80][90][98][DF][4A]
94765125 : Rx: [86][FF][87][80][92][9B][E0][4B]
94765375 : Rx: [86][FF][87][80][92][9B][E0][4B]
94765625 : Rx: [04][00][90][98][92][9B][E0][4B]
94765859 : Rx: [04][00][92][9B][A2][9E][E1][4D]
94766109 : Rx: [04][00][92][9B][A2][9E][E1][4D]
94766359 : Rx: [04][00][92][9B][A2][9E][E1][4D]
94766609 : Rx fail
94766843 : Rx: [84][00][A2][9E][94][A1][E2][4E]
94767093 : Rx: [84][00][A2][9E][94][A1][E2][4E]
94767343 : Rx fail
94767593 : Rx: [04][00][94][A1][78][A4][E3][50]
94767843 : Rx: [04][00][78][A4][2D][A7][E4][51]
94768078 : Rx fail
94768328 : Rx: [04][00][78][A4][2D][A7][E4][51]
94768578 : Rx: [84][00][2D][A7][E9][A9][E5][54]
94768828 : Rx: [84][00][2D][A7][E9][A9][E5][54]
94769062 : Rx: [84][00][2D][A7][E9][A9][E5][54]
94769312 : Rx: [84][00][E9][A9][9E][AC][E6][56]
94769562 : Rx: [04][00][E9][A9][9E][AC][E6][56]
94769812 : Rx: [04][00][9E][AC][80][AF][E7][57]
94770046 : Rx: [04][00][9E][AC][80][AF][E7][57]
94770296 : Rx: [04][00][9E][AC][80][AF][E7][57]
94770546 : Rx: [84][00][80][AF][D4][B2][E8][57]
94770796 : Rx: [84][00][80][AF][D4][B2][E8][57]
94771031 : Rx: [F9][42][5B][02][D4][B2][E8][57]
94771281 : Rx: [84][00][80][AF][D4][B2][E8][57]
94771531 : Rx: [04][00][D4][B2][29][B6][E9][57]
94771781 : Rx fail
94772015 : Rx: [04][00][D4][B2][29][B6][E9][57]
94772265 : Rx: [04][00][29][B6][65][B9][EA][56]
94772515 : Rx: [84][00][29][B6][65][B9][EA][56]
94772765 : Rx: [84][00][29][B6][65][B9][EA][56]
94773015 : Rx: [84][00][29][B6][65][B9][EA][56]
94773250 : Rx: [84][00][65][B9][63][BC][EB][54]
94773500 : Rx: [04][00][65][B9][63][BC][EB][54]
94773750 : Rx: [04][00][65][B9][63][BC][EB][54]
94774000 : Rx: [04][00][63][BC][59][BF][EC][52]
94774234 : Rx: [04][00][63][BC][59][BF][EC][52]
94774484 : Rx fail
94774734 : Rx: [84][00][59][BF][51][C2][ED][52]
94774984 : Rx: [84][00][59][BF][51][C2][ED][52]
94775218 : Rx: [84][00][59][BF][51][C2][ED][52]
94775468 : Rx: [04][00][51][C2][37][C5][EE][51]
94775718 : Rx: [04][00][51][C2][37][C5][EE][51]
94775968 : Rx: [04][00][51][C2][37][C5][EE][51]
94776203 : Rx: [04][00][37][C5][1A][C8][EF][52]
94776453 : Rx fail
94776703 : Rx: [84][00][37][C5][1A][C8][EF][52]
94776953 : Rx: [84][00][1A][C8][2D][CB][F0][52]
94777187 : Rx: [84][00][1A][C8][2D][CB][F0][52]
94777437 : Rx: [04][00][1A][C8][2D][CB][F0][52]
94777687 : Rx: [04][00][2D][CB][64][CE][F1][50]
94777937 : Rx fail
94778187 : Rx: [04][00][2D][CB][64][CE][F1][50]
94778421 : Rx: [84][00][64][CE][71][D1][F2][4F]
94778671 : Rx: [84][00][64][CE][71][D1][F2][4F]
94778921 : Rx: [84][00][64][CE][71][D1][F2][4F]
94779171 : Rx: [84][00][71][D1][A8][D4][F3][4D]
94779406 : Rx: [04][00][71][D1][A8][D4][F3][4D]
94779656 : Rx fail
94779906 : Rx: [04][00][A8][D4][AB][D7][F4][4E]
94780156 : Rx: [04][00][A8][D4][AB][D7][F4][4E]
94780390 : Rx: [84][00][A8][D4][AB][D7][F4][4E]
94780640 : Rx: [F9][51][17][0C][C0][DA][F5][4E]
94780890 : Rx fail
94781140 : Rx: [84][00][AB][D7][C0][DA][F5][4E]
94781375 : Rx: [07][FF][FA][32][C0][DA][F5][4E]
94781625 : Rx fail
