*** New Session***
02-11-2021 09:04:21
Product Name: Forerunner
142474484 : Rx: [00][FF][FF][FF][EC][48][26][67]
142474734 : Rx: [00][FF][FF][FF][EC][48][26][67]
142474984 : Rx: [80][FF][FF][FF][40][4B][27][67]
142475218 : Rx: [80][FF][FF][FF][40][4B][27][68]
142475468 : Rx: [80][FF][FF][FF][8E][4D][28][68]
142475718 : Rx: [80][FF][FF][FF][8E][4D][28][68]
142475968 : Rx: [00][FF][FF][FF][8E][4D][28][68]
142476203 : Rx: [00][FF][FF][FF][D1][4F][29][6A]
142476453 : Rx: [00][FF][FF][FF][D1][4F][29][6A]
142476703 : Rx: [00][FF][FF][FF][14][52][2A][6A]
142476953 : Rx: [80][FF][FF][FF][14][52][2A][6A]
142477187 : Rx: [80][FF][FF][FF][52][54][2B][6B]
142477437 : Rx: [80][FF][FF][FF][52][54][2B][6B]
142477687 : Rx: [80][FF][FF][FF][52][54][2B][6B]
142477937 : Rx: [00][FF][FF][FF][90][56][2C][6B]
142478187 : Rx: [00][FF][FF][FF][90][56][2C][6B]
142478421 : Rx: [00][FF][FF][FF][CE][58][2D][6B]
142478671 : Rx: [00][FF][FF][FF][CE][58][2D][6B]
142478921 : Rx: [80][FF][FF][FF][0C][5B][2E][6B]
142479171 : Rx: [80][FF][FF][FF][0C][5B][2E][6B]
142479406 : Rx: [80][FF][FF][FF][4A][5D][2F][6B]
142479656 : Rx: [80][FF][FF][FF][4A][5D][2F][6B]
142479906 : Rx: [00][FF][FF][FF][4A][5D][2F][6B]
142480156 : Rx: [00][FF][FF][FF][8D][5F][30][6A]
142480390 : Rx: [00][FF][FF][FF][8D][5F][30][6A]
142480640 : Rx: [00][FF][FF][FF][D0][61][31][6A]
142480890 : Rx: [80][FF][FF][FF][D0][61][31][6A]
142481140 : Rx: [80][FF][FF][FF][13][64][32][6A]
142481375 : Rx: [80][FF][FF][FF][13][64][32][6A]
142481625 : Rx: [80][FF][FF][FF][13][64][32][6A]
142481875 : Rx: [00][FF][FF][FF][56][66][33][6A]
142482125 : Rx: [00][FF][FF][FF][56][66][33][69]
142482359 : Rx: [00][FF][FF][FF][9F][68][34][69]
142482609 : Rx: [00][FF][FF][FF][9F][68][34][69]
142482859 : Rx: [80][FF][FF][FF][E8][6A][35][69]
142483109 : Rx: [80][FF][FF][FF][E8][6A][35][69]
142483343 : Rx fail
142483593 : Rx: [80][FF][FF][FF][31][6D][36][69]
142483843 : Rx fail
142484093 : Rx: [00][FF][FF][FF][7A][6F][37][69]
142484343 : Rx: [00][FF][FF][FF][7A][6F][37][69]
142484578 : Rx: [00][FF][FF][FF][C3][71][38][69]
142484828 : Rx: [80][FF][FF][FF][C3][71][38][69]
142485078 : Rx: [80][FF][FF][FF][0C][74][39][69]
142485328 : Rx fail
142485562 : Rx: [80][FF][FF][FF][0C][74][39][69]
142485812 : Rx: [00][FF][FF][FF][55][76][3A][69]
142486062 : Rx: [00][FF][FF][FF][55][76][3A][68]
142486312 : Rx fail
142486546 : Rx fail
142486796 : Rx: [80][FF][FF][FF][A3][78][3B][68]
142487046 : Rx: [80][FF][FF][FF][EC][7A][3C][69]
142487296 : Rx fail
142487531 : Rx fail
142487781 : Rx: [00][FF][FF][FF][35][7D][3D][69]
142488031 : Rx: [00][FF][FF][FF][78][7F][3E][6A]
142488281 : Rx: [00][FF][FF][FF][78][7F][3E][6A]
142488515 : Rx fail
142488765 : Rx fail
142489015 : Rx: [89][FD][FF][FF][BB][81][3F][6A]
142489265 : Rx: [89][FD][FF][FF][FE][83][40][6A]
142489515 : Rx: [89][FD][FF][FF][FE][83][40][6A]
142489750 : Rx: [00][FF][FF][FF][41][86][41][6A]
142490000 : Rx: [00][FF][FF][FF][41][86][41][6A]
142490250 : Rx fail
142490500 : Rx fail
142490734 : Rx fail
142490984 : Rx: [80][FF][FF][FF][C7][8A][43][6A]
142491234 : Rx: [80][FF][FF][FF][C7][8A][43][6A]
142491484 : Rx: [80][FF][FF][FF][0A][8D][44][6A]
142491718 : Rx: [00][FF][FF][FF][0A][8D][44][6A]
142491968 : Rx: [00][FF][FF][FF][4D][8F][45][6A]
142492218 : Rx fail
142492468 : Rx: [00][FF][FF][FF][96][91][46][69]
142492703 : Rx: [80][FF][FF][FF][96][91][46][69]
142492953 : Rx: [80][FF][FF][FF][96][91][46][69]
142493203 : Rx fail
142493453 : Rx: [80][FF][FF][FF][E4][93][47][68]
142493687 : Rx: [00][FF][FF][FF][32][96][48][68]
142493937 : Rx: [00][FF][FF][FF][32][96][48][68]
142494187 : Rx: [00][FF][FF][FF][86][98][49][67]
142494437 : Rx: [00][FF][FF][FF][86][98][49][67]
142494671 : Rx fail
142494921 : Rx: [80][FF][FF][FF][DA][9A][4A][67]
142495171 : Rx: [80][FF][FF][FF][DA][9A][4A][65]
142495421 : Rx: [80][FF][FF][FF][3A][9D][4B][65]
142495671 : Rx: [00][FF][FF][FF][3A][9D][4B][65]
142495906 : Rx: [00][FF][FF][FF][3A][9D][4B][65]
142496156 : Rx: [00][FF][FF][FF][A0][9F][4C][64]
142496406 : Rx: [00][FF][FF][FF][A0][9F][4C][64]
142496656 : Rx: [80][FF][FF][FF][06][A2][4D][64]
142496890 : Rx: [80][FF][FF][FF][06][A2][4D][64]
142497140 : Rx: [80][FF][FF][FF][06][A2][4D][63]
142497390 : Rx: [80][FF][FF][FF][72][A4][4E][63]
142497640 : Rx: [00][FF][FF][FF][72][A4][4E][63]
142497875 : Rx fail
142498125 : Rx: [00][FF][FF][FF][DE][A6][4F][62]
142498375 : Rx: [00][FF][FF][FF][DE][A6][4F][62]
142498625 : Rx: [80][FF][FF][FF][50][A9][50][62]
142498859 : Rx: [80][FF][FF][FF][50][A9][50][62]
142499109 : Rx: [80][FF][FF][FF][C2][AB][51][62]
142499359 : Rx: [80][FF][FF][FF][C2][AB][51][62]
142499609 : Rx: [00][FF][FF][FF][34][AE][52][62]
142499843 : Rx: [00][FF][FF][FF][34][AE][52][62]
142500093 : Rx: [00][FF][FF][FF][34][AE][52][62]
142500343 : Rx: [00][FF][FF][FF][A6][B0][53][62]
142500593 : Rx: [80][FF][FF][FF][A6][B0][53][62]
142500843 : Rx: [80][FF][FF][FF][18][B3][54][62]
142501078 : Rx: [80][FF][FF][FF][18][B3][54][62]
142501328 : Rx: [80][FF][FF][FF][18][B3][54][62]
142501578 : Rx: [00][FF][FF][FF][8A][B5][55][62]
142501828 : Rx: [00][FF][FF][FF][8A][B5][55][62]
142502062 : Rx: [00][FF][FF][FF][FC][B7][56][62]
142502312 : Rx: [00][FF][FF][FF][FC][B7][56][62]
142502562 : Rx: [80][FF][FF][FF][FC][B7][56][62]
142502812 : Rx: [80][FF][FF][FF][6E][BA][57][62]
142503046 : Rx: [80][FF][FF][FF][6E][BA][57][62]
142503296 : Rx: [80][FF][FF][FF][E0][BC][58][62]
142503546 : Rx: [00][FF][FF][FF][E0][BC][58][62]
142503796 : Rx fail
142504031 : Rx: [00][FF][FF][FF][59][BF][59][61]
142504281 : Rx: [00][FF][FF][FF][59][BF][59][61]
142504531 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142504781 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142505031 : Rx: [80][FF][FF][FF][D2][C1][5A][61]
142505265 : Rx: [80][FF][FF][FF][4B][C4][5B][61]
142505515 : Rx: [02][01][94][C8][4B][C4][5B][61]
142505765 : Rx fail
142506015 : Rx: [02][01][94][C8][C4][C6][5C][60]
142506250 : Rx: [02][01][94][C8][C4][C6][5C][60]
142506500 : Rx fail
142506750 : Rx fail
142507000 : Rx: [80][FF][FF][FF][44][C9][5D][60]
142507234 : Rx: [80][FF][FF][FF][C4][CB][5E][60]
142507484 : Rx: [00][FF][FF][FF][C4][CB][5E][60]
142507734 : Rx fail
142507984 : Rx: [00][FF][FF][FF][44][CE][5F][60]
142508218 : Rx: [00][FF][FF][FF][44][CE][5F][60]
142508468 : Rx: [80][FF][FF][FF][C4][D0][60][60]
142508718 : Rx: [80][FF][FF][FF][C4][D0][60][60]
142508968 : Rx fail
142509203 : Rx: [80][FF][FF][FF][44][D3][61][60]
142509453 : Rx: [00][FF][FF][FF][44][D3][61][60]
142509703 : Rx: [00][FF][FF][FF][C4][D5][62][60]
142509953 : Rx: [00][FF][FF][FF][C4][D5][62][60]
142510187 : Rx: [00][FF][FF][FF][3D][D8][63][61]
142510437 : Rx: [80][FF][FF][FF][3D][D8][63][61]
142510687 : Rx fail
142510937 : Rx fail
142511187 : Rx: [80][FF][FF][FF][B6][DA][64][61]
142511421 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142511671 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142511921 : Rx: [00][FF][FF][FF][2F][DD][65][61]
142512171 : Rx: [00][FF][FF][FF][AF][DF][66][60]
142512406 : Rx: [80][FF][FF][FF][AF][DF][66][60]
142512656 : Rx: [80][FF][FF][FF][2F][E2][67][60]
142512906 : Rx fail
142513156 : Rx: [80][FF][FF][FF][2F][E2][67][60]
142513390 : Rx: [00][FF][FF][FF][AF][E4][68][60]
142513640 : Rx: [00][FF][FF][FF][AF][E4][68][60]
142513890 : Rx fail
142514140 : Rx: [00][FF][FF][FF][2F][E7][69][60]
142514390 : Rx: [80][FF][FF][FF][2F][E7][69][60]
142514625 : Rx: [80][FF][FF][FF][AF][E9][6A][60]
142514875 : Rx: [80][FF][FF][FF][AF][E9][6A][60]
142515125 : Rx: [80][FF][FF][FF][2F][EC][6B][60]
142515375 : Rx: [00][FF][FF][FF][2F][EC][6B][60]
142515609 : Rx fail
142515859 : Rx: [00][FF][FF][FF][AF][EE][6C][60]
142516109 : Rx: [00][FF][FF][FF][AF][EE][6C][60]
