*** New Session***
02-11-2021 16:09:57
Product Name: hrm_pro
168010515 : Rx: [04][00][3D][9F][96][A2][04][48]
168010765 : Rx: [04][00][3D][9F][96][A2][04][48]
168011015 : Rx: [04][00][3D][9F][96][A2][04][48]
168011265 : Rx: [84][00][96][A2][B6][A5][05][48]
168011500 : Rx: [F9][50][00][00][B6][A5][05][48]
168011750 : Rx: [84][00][96][A2][B6][A5][05][48]
168012000 : Rx: [84][00][B6][A5][F2][A8][06][49]
168012250 : Rx: [04][00][B6][A5][F2][A8][06][49]
168012484 : Rx: [04][00][B6][A5][F2][A8][06][49]
168012734 : Rx: [04][00][F2][A8][FA][AB][07][4B]
168012984 : Rx: [04][00][F2][A8][FA][AB][07][4B]
168013234 : Rx: [84][00][F2][A8][FA][AB][07][4B]
168013468 : Rx: [84][00][FA][AB][C8][AE][08][4D]
168013718 : Rx fail
168013968 : Rx: [84][00][FA][AB][C8][AE][08][4D]
168014218 : Rx fail
168014453 : Rx: [04][00][C8][AE][C6][B1][09][4F]
168014703 : Rx fail
168014953 : Rx: [04][00][C6][B1][E6][B4][0A][4F]
168015203 : Rx: [84][00][C6][B1][E6][B4][0A][4F]
168015437 : Rx: [84][00][C6][B1][E6][B4][0A][4F]
168015687 : Rx: [84][00][E6][B4][E8][B7][0B][50]
168015937 : Rx: [84][00][E6][B4][E8][B7][0B][50]
168016187 : Rx: [04][00][E6][B4][E8][B7][0B][50]
168016437 : Rx: [04][00][E8][B7][05][BB][0C][4E]
168016671 : Rx: [04][00][E8][B7][05][BB][0C][4E]
168016921 : Rx: [04][00][E8][B7][05][BB][0C][4E]
168017171 : Rx: [86][FF][87][80][F4][BD][0D][4F]
168017421 : Rx: [86][FF][87][80][F4][BD][0D][4F]
168017656 : Rx: [86][FF][87][80][F4][BD][0D][4F]
168017906 : Rx: [86][FF][87][80][0A][C1][0E][4E]
168018156 : Rx: [04][00][F4][BD][0A][C1][0E][4E]
168018406 : Rx: [04][00][F4][BD][0A][C1][0E][4E]
168018640 : Rx: [04][00][0A][C1][7A][C4][0F][4E]
168018890 : Rx: [04][00][0A][C1][7A][C4][0F][4E]
168019140 : Rx: [84][00][0A][C1][7A][C4][0F][4E]
168019390 : Rx: [84][00][0A][C1][7A][C4][0F][4E]
168019625 : Rx: [84][00][7A][C4][F7][C7][10][4A]
168019875 : Rx: [84][00][7A][C4][F7][C7][10][4A]
168020125 : Rx: [04][00][7A][C4][F7][C7][10][4A]
168020375 : Rx: [04][00][7A][C4][F7][C7][10][4A]
168020609 : Rx: [04][00][F7][C7][3A][CB][11][48]
168020859 : Rx: [04][00][F7][C7][3A][CB][11][48]
168021109 : Rx: [F9][47][C3][07][3A][CB][11][48]
168021359 : Rx fail
168021609 : Rx: [84][00][3A][CB][6F][CE][12][49]
168021843 : Rx: [84][00][3A][CB][6F][CE][12][49]
168022093 : Rx fail
168022343 : Rx: [04][00][6F][CE][9C][D1][13][4A]
168022593 : Rx: [04][00][6F][CE][9C][D1][13][4A]
168022828 : Rx: [04][00][9C][D1][B1][D4][14][4B]
168023078 : Rx: [84][00][9C][D1][B1][D4][14][4B]
168023328 : Rx: [84][00][9C][D1][B1][D4][14][4B]
168023578 : Rx: [84][00][B1][D4][5D][D7][15][4B]
168023812 : Rx: [84][00][B1][D4][5D][D7][15][4B]
168024062 : Rx: [04][00][B1][D4][5D][D7][15][4B]
168024312 : Rx: [79][42][09][09][20][DA][16][4B]
168024562 : Rx: [04][00][5D][D7][20][DA][16][4B]
168024796 : Rx: [04][00][5D][D7][20][DA][16][4B]
168025046 : Rx: [84][00][20][DA][E7][DC][17][4B]
168025296 : Rx: [84][00][20][DA][E7][DC][17][4B]
168025546 : Rx: [84][00][E7][DC][C8][DF][18][4D]
168025781 : Rx fail
168026031 : Rx: [04][00][E7][DC][C8][DF][18][4D]
168026281 : Rx: [04][00][C8][DF][9D][E2][19][50]
168026531 : Rx: [04][00][C8][DF][9D][E2][19][50]
168026765 : Rx: [04][00][C8][DF][9D][E2][19][50]
168027015 : Rx: [84][00][9D][E2][4E][E5][1A][52]
168027265 : Rx: [84][00][9D][E2][4E][E5][1A][52]
168027515 : Rx: [F9][52][01][FF][4E][E5][1A][52]
168027765 : Rx: [84][00][4E][E5][4C][E8][1B][54]
168028000 : Rx: [04][00][4E][E5][4C][E8][1B][54]
168028250 : Rx: [04][00][4E][E5][4C][E8][1B][54]
168028500 : Rx: [04][00][4C][E8][8B][EB][1C][52]
168028750 : Rx: [04][00][4C][E8][8B][EB][1C][52]
168028984 : Rx: [84][00][4C][E8][8B][EB][1C][52]
168029234 : Rx: [84][00][8B][EB][DC][EE][1D][4F]
168029484 : Rx: [84][00][8B][EB][DC][EE][1D][4F]
168029734 : Rx: [84][00][8B][EB][DC][EE][1D][4F]
168029968 : Rx fail
168030218 : Rx: [04][00][DC][EE][2B][F2][1E][4C]
168030468 : Rx: [04][00][DC][EE][2B][F2][1E][4C]
168030718 : Rx: [79][42][2F][09][2B][F2][1E][4C]
168030953 : Rx: [84][00][2B][F2][80][F5][1F][4A]
168031203 : Rx: [84][00][2B][F2][80][F5][1F][4A]
168031453 : Rx: [84][00][2B][F2][80][F5][1F][4A]
168031703 : Rx: [84][00][2B][F2][80][F5][1F][4A]
168031937 : Rx: [04][00][80][F5][CA][F8][20][49]
168032187 : Rx: [04][00][80][F5][CA][F8][20][49]
168032437 : Rx: [04][00][80][F5][CA][F8][20][49]
168032687 : Rx: [04][00][CA][F8][D2][FB][21][49]
168032937 : Rx: [84][00][CA][F8][D2][FB][21][49]
168033171 : Rx: [84][00][CA][F8][D2][FB][21][49]
168033421 : Rx: [84][00][D2][FB][E3][FE][22][4C]
168033671 : Rx: [84][00][D2][FB][E3][FE][22][4C]
168033921 : Rx: [07][FF][FE][32][E3][FE][22][4C]
168034156 : Rx: [07][FF][FE][32][F8][01][23][4D]
168034406 : Rx: [07][FF][FE][32][F8][01][23][4D]
168034656 : Rx: [07][FF][FE][32][F8][01][23][4D]
168034906 : Rx fail
168035140 : Rx: [84][00][F8][01][11][05][24][4D]
168035390 : Rx: [84][00][F8][01][11][05][24][4D]
168035640 : Rx: [84][00][11][05][25][08][25][4E]
168035890 : Rx: [04][00][11][05][25][08][25][4E]
168036125 : Rx: [04][00][11][05][25][08][25][4E]
168036375 : Rx: [04][00][25][08][17][0B][26][4E]
168036625 : Rx: [04][00][25][08][17][0B][26][4E]
168036875 : Rx: [84][00][25][08][17][0B][26][4E]
168037109 : Rx: [F9][42][55][09][02][0E][27][50]
168037359 : Rx: [84][00][17][0B][02][0E][27][50]
168037609 : Rx: [84][00][17][0B][02][0E][27][50]
168037859 : Rx: [04][00][02][0E][38][11][28][51]
168038109 : Rx: [04][00][02][0E][38][11][28][51]
168038343 : Rx: [04][00][02][0E][38][11][28][51]
168038593 : Rx: [04][00][02][0E][38][11][28][51]
168038843 : Rx: [84][00][38][11][AD][14][29][4E]
168039093 : Rx: [84][00][38][11][AD][14][29][4E]
168039328 : Rx: [84][00][38][11][AD][14][29][4E]
168039578 : Rx: [84][00][AD][14][39][18][2A][4A]
168039828 : Rx: [04][00][AD][14][39][18][2A][4A]
168040078 : Rx: [04][00][AD][14][39][18][2A][4A]
168040312 : Rx: [79][52][00][04][39][18][2A][4A]
168040562 : Rx fail
168040812 : Rx: [84][00][39][18][AE][1B][2B][48]
168041062 : Rx: [84][00][39][18][AE][1B][2B][48]
168041296 : Rx: [84][00][39][18][AE][1B][2B][48]
168041546 : Rx: [84][00][AE][1B][1C][1F][2C][47]
168041796 : Rx: [04][00][AE][1B][1C][1F][2C][47]
168042046 : Rx: [04][00][AE][1B][1C][1F][2C][47]
168042281 : Rx: [04][00][1C][1F][B4][22][2D][46]
168042531 : Rx: [04][00][1C][1F][B4][22][2D][46]
168042781 : Rx: [84][00][1C][1F][B4][22][2D][46]
168043031 : Rx: [84][00][1C][1F][B4][22][2D][46]
168043281 : Rx: [84][00][B4][22][64][26][2E][44]
168043515 : Rx: [F9][42][02][09][64][26][2E][44]
168043765 : Rx: [04][00][B4][22][64][26][2E][44]
168044015 : Rx: [04][00][B4][22][64][26][2E][44]
168044265 : Rx: [04][00][64][26][18][2A][2F][43]
168044500 : Rx: [04][00][64][26][18][2A][2F][43]
168044750 : Rx: [84][00][64][26][18][2A][2F][43]
168045000 : Rx: [84][00][64][26][18][2A][2F][43]
168045250 : Rx: [84][00][18][2A][A7][2D][30][42]
168045484 : Rx: [84][00][18][2A][A7][2D][30][42]
168045734 : Rx: [04][00][18][2A][A7][2D][30][42]
168045984 : Rx: [04][00][A7][2D][19][31][31][43]
168046234 : Rx: [04][00][A7][2D][19][31][31][43]
168046468 : Rx: [04][00][A7][2D][19][31][31][43]
168046718 : Rx: [84][00][A7][2D][19][31][31][43]
168046968 : Rx: [84][00][19][31][90][34][32][44]
168047218 : Rx: [84][00][19][31][90][34][32][44]
168047453 : Rx: [84][00][19][31][90][34][32][44]
168047703 : Rx: [04][00][90][34][3A][38][33][45]
168047953 : Rx: [04][00][90][34][3A][38][33][45]
168048203 : Rx: [04][00][90][34][3A][38][33][45]
168048437 : Rx fail
168048687 : Rx: [84][00][3A][38][01][3C][34][43]
168048937 : Rx: [84][00][3A][38][01][3C][34][43]
168049187 : Rx: [84][00][3A][38][01][3C][34][43]
168049437 : Rx: [84][00][3A][38][01][3C][34][43]
168049671 : Rx fail
168049921 : Rx: [79][42][E7][08][D2][3F][35][41]
168050171 : Rx: [04][00][01][3C][D2][3F][35][41]
168050421 : Rx: [04][00][01][3C][D2][3F][35][41]
168050656 : Rx fail
168050906 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051156 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051406 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051640 : Rx: [04][00][7A][43][DF][46][37][41]
168051890 : Rx: [04][00][7A][43][DF][46][37][41]
168052140 : Rx: [04][00][7A][43][DF][46][37][41]
168052390 : Rx: [04][00][DF][46][45][4A][38][44]
168052625 : Rx: [84][00][DF][46][45][4A][38][44]
168052875 : Rx: [84][00][DF][46][45][4A][38][44]
168053125 : Rx: [84][00][45][4A][E2][4D][39][45]
168053375 : Rx: [84][00][45][4A][E2][4D][39][45]
168053609 : Rx: [04][00][45][4A][E2][4D][39][45]
168053859 : Rx: [04][00][45][4A][E2][4D][39][45]
168054109 : Rx: [04][00][E2][4D][AB][51][3A][44]
