*** New Session***
02-11-2021 17:02:10
Product Name: HRM-pro
171143015 : Rx: [84][00][A2][13][11][16][C9][63]
171143265 : Rx fail
171143515 : Rx: [04][00][11][16][7A][18][CA][63]
171143765 : Rx: [79][42][69][08][7A][18][CA][63]
171144000 : Rx: [04][00][7A][18][DB][1A][CB][63]
171144250 : Rx: [84][00][7A][18][DB][1A][CB][63]
171144500 : Rx: [84][00][DB][1A][39][1D][CC][64]
171144750 : Rx: [84][00][DB][1A][39][1D][CC][64]
171144984 : Rx: [84][00][39][1D][91][1F][CD][65]
171145234 : Rx: [04][00][39][1D][91][1F][CD][65]
171145484 : Rx: [04][00][91][1F][E3][21][CE][66]
171145734 : Rx: [04][00][91][1F][E3][21][CE][66]
171145968 : Rx: [04][00][91][1F][E3][21][CE][66]
171146218 : Rx: [84][00][E3][21][37][24][CF][66]
171146468 : Rx: [84][00][E3][21][37][24][CF][66]
171146718 : Rx: [84][00][37][24][94][26][D0][67]
171146953 : Rx: [84][00][37][24][94][26][D0][67]
171147203 : Rx: [04][00][37][24][94][26][D0][67]
171147453 : Rx: [04][00][94][26][F4][28][D1][66]
171147703 : Rx: [04][00][94][26][F4][28][D1][66]
171147953 : Rx: [04][00][F4][28][3E][2B][D2][66]
171148187 : Rx: [86][FF][87][80][3E][2B][D2][66]
171148437 : Rx: [86][FF][87][80][86][2D][D3][67]
171148687 : Rx: [86][FF][87][80][86][2D][D3][67]
171148937 : Rx: [86][FF][87][80][E5][2F][D4][68]
171149171 : Rx: [04][00][86][2D][E5][2F][D4][68]
171149421 : Rx: [04][00][86][2D][E5][2F][D4][68]
171149671 : Rx: [04][00][E5][2F][5B][32][D5][67]
171149921 : Rx: [04][00][E5][2F][5B][32][D5][67]
171150156 : Rx: [84][00][5B][32][B5][34][D6][66]
171150406 : Rx: [84][00][5B][32][B5][34][D6][66]
171150656 : Rx: [84][00][5B][32][B5][34][D6][66]
171150906 : Rx: [84][00][B5][34][06][37][D7][66]
171151140 : Rx fail
171151390 : Rx: [04][00][06][37][5F][39][D8][66]
171151640 : Rx: [04][00][06][37][5F][39][D8][66]
171151890 : Rx: [04][00][06][37][5F][39][D8][66]
171152125 : Rx: [84][00][5F][39][B4][3B][D9][67]
171152375 : Rx: [84][00][5F][39][B4][3B][D9][67]
171152625 : Rx: [84][00][B4][3B][16][3E][DA][66]
171152875 : Rx: [84][00][B4][3B][16][3E][DA][66]
171153125 : Rx: [04][00][16][3E][6A][40][DB][67]
171153359 : Rx: [79][52][01][06][6A][40][DB][67]
171153609 : Rx: [04][00][16][3E][6A][40][DB][67]
171153859 : Rx: [04][00][6A][40][BC][42][DC][67]
171154109 : Rx: [84][00][6A][40][BC][42][DC][67]
171154343 : Rx: [84][00][BC][42][0C][45][DD][67]
171154593 : Rx: [84][00][BC][42][0C][45][DD][67]
171154843 : Rx: [84][00][0C][45][78][47][DE][67]
171155093 : Rx: [04][00][0C][45][78][47][DE][67]
171155328 : Rx: [04][00][0C][45][78][47][DE][67]
171155578 : Rx: [04][00][78][47][D2][49][DF][67]
171155828 : Rx: [04][00][78][47][D2][49][DF][67]
171156078 : Rx: [84][00][D2][49][2D][4C][E0][66]
171156312 : Rx: [84][00][D2][49][2D][4C][E0][66]
171156562 : Rx: [F9][42][92][07][2D][4C][E0][66]
171156812 : Rx: [84][00][2D][4C][88][4E][E1][66]
171157062 : Rx: [04][00][2D][4C][88][4E][E1][66]
171157296 : Rx: [04][00][88][4E][E3][50][E2][66]
171157546 : Rx: [04][00][88][4E][E3][50][E2][66]
171157796 : Rx: [04][00][E3][50][68][52][E3][66]
171158046 : Rx: [84][00][E3][50][68][52][E3][66]
171158296 : Rx: [84][00][68][52][DC][54][E4][66]
171158531 : Rx: [84][00][68][52][DC][54][E4][66]
171158781 : Rx: [84][00][DC][54][44][57][E5][66]
171159031 : Rx: [04][00][DC][54][44][57][E5][66]
171159281 : Rx: [04][00][DC][54][44][57][E5][66]
171159515 : Rx: [04][00][44][57][AF][59][E6][66]
171159765 : Rx: [04][00][44][57][AF][59][E6][66]
171160015 : Rx: [84][00][AF][59][16][5C][E7][66]
171160265 : Rx: [84][00][AF][59][16][5C][E7][66]
171160500 : Rx: [84][00][AF][59][16][5C][E7][66]
171160750 : Rx: [84][00][16][5C][59][5E][E8][66]
171161000 : Rx: [04][00][16][5C][59][5E][E8][66]
171161250 : Rx: [04][00][59][5E][97][60][E9][66]
171161484 : Rx: [04][00][59][5E][97][60][E9][66]
171161734 : Rx: [04][00][97][60][D0][62][EA][67]
171161984 : Rx: [84][00][97][60][D0][62][EA][67]
171162234 : Rx: [84][00][D0][62][02][65][EB][6A]
171162468 : Rx: [84][00][D0][62][02][65][EB][6A]
171162718 : Rx: [84][00][D0][62][02][65][EB][6A]
171162968 : Rx fail
171163218 : Rx: [04][00][02][65][28][67][EC][6C]
171163468 : Rx: [04][00][28][67][53][69][ED][6D]
171163703 : Rx fail
171163953 : Rx: [84][00][53][69][9E][6B][EE][6E]
171164203 : Rx: [84][00][53][69][9E][6B][EE][6E]
171164453 : Rx: [84][00][9E][6B][1C][6E][EF][6C]
171164687 : Rx: [84][00][9E][6B][1C][6E][EF][6C]
171164937 : Rx: [07][FF][FA][32][1C][6E][EF][6C]
171165187 : Rx: [07][FF][FA][32][7D][70][F0][68]
171165437 : Rx: [07][FF][FA][32][7D][70][F0][68]
171165671 : Rx fail
171165921 : Rx fail
171166171 : Rx: [84][00][7D][70][CC][72][F1][67]
171166421 : Rx: [84][00][CC][72][15][75][F2][67]
171166656 : Rx: [84][00][CC][72][15][75][F2][67]
171166906 : Rx: [04][00][15][75][6B][77][F3][68]
171167156 : Rx: [04][00][15][75][6B][77][F3][68]
171167406 : Rx fail
171167640 : Rx: [04][00][6B][77][EA][79][F4][67]
