*** New Session***
03-11-2021 10:04:34
Product Name: hrm-pro
232487390 : Rx: [84][00][FE][6A][E9][6F][63][31]
232487640 : Rx: [04][00][FE][6A][E9][6F][63][31]
232487890 : Rx: [04][00][FE][6A][E9][6F][63][31]
232488140 : Rx: [04][00][FE][6A][E9][6F][63][31]
232488375 : Rx: [04][00][E9][6F][86][74][64][31]
232488625 : Rx: [84][00][E9][6F][86][74][64][31]
232488875 : Rx: [84][00][E9][6F][86][74][64][31]
232489125 : Rx: [84][00][E9][6F][86][74][64][31]
232489359 : Rx: [84][00][86][74][C0][79][65][31]
232489609 : Rx: [03][42][47][13][C0][79][65][31]
232489859 : Rx: [03][42][47][13][C0][79][65][31]
232490109 : Rx: [03][42][47][13][C0][79][65][31]
232490359 : Rx: [03][42][47][13][C0][79][65][31]
232490593 : Rx: [84][00][86][74][C0][79][65][31]
232490843 : Rx: [84][00][C0][79][5D][7E][66][32]
232491093 : Rx: [F9][42][C6][04][5D][7E][66][32]
232491343 : Rx: [84][00][C0][79][5D][7E][66][32]
232491578 : Rx: [04][00][C0][79][5D][7E][66][32]
232491828 : Rx: [04][00][5D][7E][4C][82][67][33]
232492078 : Rx: [04][00][5D][7E][4C][82][67][33]
232492328 : Rx: [04][00][5D][7E][4C][82][67][33]
232492562 : Rx: [84][00][5D][7E][4C][82][67][33]
232492812 : Rx fail
232493062 : Rx: [84][00][4C][82][74][86][68][36]
232493312 : Rx: [84][00][4C][82][74][86][68][36]
232493546 : Rx: [04][00][4C][82][74][86][68][36]
232493796 : Rx: [04][00][74][86][68][8B][69][38]
232494046 : Rx: [04][00][74][86][68][8B][69][38]
232494296 : Rx: [04][00][74][86][68][8B][69][38]
232494531 : Rx: [84][00][74][86][68][8B][69][38]
232494781 : Rx: [84][00][74][86][68][8B][69][38]
232495031 : Rx: [84][00][68][8B][91][8F][6A][39]
232495281 : Rx: [84][00][68][8B][91][8F][6A][39]
232495531 : Rx: [04][00][68][8B][91][8F][6A][39]
232495765 : Rx: [04][00][68][8B][91][8F][6A][39]
232496015 : Rx: [04][00][91][8F][0B][95][6B][39]
232496265 : Rx: [04][00][91][8F][0B][95][6B][39]
232496515 : Rx: [84][00][91][8F][0B][95][6B][39]
232496750 : Rx: [84][00][91][8F][0B][95][6B][39]
232497000 : Rx: [84][00][91][8F][0B][95][6B][39]
232497250 : Rx: [84][00][91][8F][0B][95][6B][39]
232497500 : Rx: [04][00][0B][95][D4][99][6C][39]
232497734 : Rx: [04][00][0B][95][D4][99][6C][39]
232497984 : Rx: [04][00][0B][95][D4][99][6C][39]
232498234 : Rx: [04][00][0B][95][D4][99][6C][39]
232498484 : Rx: [84][00][0B][95][D4][99][6C][39]
232498718 : Rx: [84][00][D4][99][BB][9E][6D][39]
232498968 : Rx: [84][00][D4][99][BB][9E][6D][39]
232499218 : Rx: [84][00][D4][99][BB][9E][6D][39]
232499468 : Rx: [04][00][D4][99][BB][9E][6D][39]
232499703 : Rx: [04][00][D4][99][BB][9E][6D][39]
232499953 : Rx: [04][00][BB][9E][EF][A3][6E][37]
232500203 : Rx: [04][00][BB][9E][EF][A3][6E][37]
232500453 : Rx: [84][00][BB][9E][EF][A3][6E][37]
232500687 : Rx: [F9][50][00][00][EF][A3][6E][37]
232500937 : Rx: [84][00][BB][9E][EF][A3][6E][37]
232501187 : Rx: [84][00][EF][A3][71][A8][6F][33]
232501437 : Rx fail
232501671 : Rx fail
232501921 : Rx: [04][00][EF][A3][71][A8][6F][33]
232502171 : Rx: [04][00][EF][A3][71][A8][6F][33]
232502421 : Rx: [84][00][71][A8][65][AD][70][32]
232502671 : Rx: [84][00][71][A8][65][AD][70][32]
232502906 : Rx: [84][00][71][A8][65][AD][70][32]
232503156 : Rx: [84][00][71][A8][65][AD][70][32]
232503406 : Rx: [04][00][71][A8][65][AD][70][32]
232503656 : Rx: [04][00][65][AD][3D][B2][71][32]
232503890 : Rx: [79][51][51][0A][3D][B2][71][32]
232504140 : Rx: [04][00][65][AD][3D][B2][71][32]
232504390 : Rx: [84][00][65][AD][3D][B2][71][32]
232504640 : Rx: [84][00][65][AD][3D][B2][71][32]
232504875 : Rx: [84][00][3D][B2][7F][B6][72][32]
232505125 : Rx: [84][00][3D][B2][7F][B6][72][32]
232505375 : Rx: [04][00][3D][B2][7F][B6][72][32]
232505625 : Rx: [04][00][3D][B2][7F][B6][72][32]
232505859 : Rx: [04][00][7F][B6][52][BB][73][32]
232506109 : Rx: [04][00][7F][B6][52][BB][73][32]
232506359 : Rx: [86][FF][87][80][52][BB][73][32]
232506609 : Rx fail
232506859 : Rx: [86][FF][87][80][52][BB][73][32]
232507093 : Rx: [86][FF][87][80][06][C0][74][32]
232507343 : Rx: [04][00][52][BB][06][C0][74][32]
232507593 : Rx: [04][00][52][BB][06][C0][74][32]
232507843 : Rx: [04][00][52][BB][06][C0][74][32]
232508078 : Rx: [04][00][52][BB][06][C0][74][32]
232508328 : Rx: [84][00][06][C0][B6][C4][75][33]
232508578 : Rx: [84][00][06][C0][B6][C4][75][33]
232508828 : Rx: [84][00][06][C0][B6][C4][75][33]
232509062 : Rx: [84][00][06][C0][B6][C4][75][33]
232509312 : Rx: [04][00][B6][C4][1C][CA][76][33]
232509562 : Rx: [04][00][B6][C4][1C][CA][76][33]
232509812 : Rx: [04][00][B6][C4][1C][CA][76][33]
232510046 : Rx: [04][00][B6][C4][1C][CA][76][33]
232510296 : Rx: [F9][47][FF][0F][1C][CA][76][33]
232510546 : Rx: [84][00][B6][C4][1C][CA][76][33]
232510796 : Rx: [84][00][1C][CA][DB][CE][77][33]
232511031 : Rx: [84][00][1C][CA][DB][CE][77][33]
232511281 : Rx: [04][00][1C][CA][DB][CE][77][33]
232511531 : Rx: [04][00][1C][CA][DB][CE][77][33]
232511781 : Rx: [04][00][1C][CA][DB][CE][77][33]
232512015 : Rx fail
232512265 : Rx: [84][00][DB][CE][2C][D4][78][30]
232512515 : Rx: [84][00][DB][CE][2C][D4][78][30]
232512765 : Rx: [84][00][DB][CE][2C][D4][78][30]
232513015 : Rx fail
232513250 : Rx: [04][00][DB][CE][2C][D4][78][30]
232513500 : Rx: [79][42][D9][04][46][D9][79][30]
232513750 : Rx: [04][00][2C][D4][46][D9][79][30]
232514000 : Rx fail
232514234 : Rx: [84][00][2C][D4][46][D9][79][30]
232514484 : Rx: [84][00][2C][D4][46][D9][79][30]
232514734 : Rx: [84][00][46][D9][34][DE][7A][2F]
232514984 : Rx: [84][00][46][D9][34][DE][7A][2F]
232515218 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515468 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515718 : Rx: [04][00][46][D9][34][DE][7A][2F]
232515968 : Rx fail
232516203 : Rx: [84][00][34][DE][74][E3][7B][2F]
232516453 : Rx: [84][00][34][DE][74][E3][7B][2F]
232516703 : Rx: [F9][52][01][FF][74][E3][7B][2F]
232516953 : Rx: [84][00][34][DE][74][E3][7B][2F]
232517187 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517437 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517687 : Rx: [04][00][74][E3][EF][E7][7C][30]
232517937 : Rx: [04][00][74][E3][EF][E7][7C][30]
232518187 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518421 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518671 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232518921 : Rx: [84][00][EF][E7][11][ED][7D][2F]
232519171 : Rx: [04][00][EF][E7][11][ED][7D][2F]
232519406 : Rx: [04][00][EF][E7][11][ED][7D][2F]
