*** New Session***
03-11-2021 10:04:57
Product Name: forerunner
232510984 : Rx: [00][FF][FF][FF][24][7B][7F][32]
232511234 : Rx: [00][FF][FF][FF][24][7B][7F][32]
232511468 : Rx: [80][FF][FF][FF][24][7B][7F][32]
232511718 : Rx: [80][FF][FF][FF][24][7B][7F][32]
232511968 : Rx: [80][FF][FF][FF][F0][7F][80][32]
232512218 : Rx: [80][FF][FF][FF][F0][7F][80][32]
232512453 : Rx: [00][FF][FF][FF][F0][7F][80][32]
232512703 : Rx: [00][FF][FF][FF][F0][7F][80][33]
232512953 : Rx: [00][FF][FF][FF][A4][84][81][33]
232513203 : Rx fail
232513437 : Rx fail
232513687 : Rx: [80][FF][FF][FF][A4][84][81][33]
232513937 : Rx: [80][FF][FF][FF][A4][84][81][33]
232514187 : Rx fail
232514437 : Rx: [00][FF][FF][FF][58][89][82][33]
232514671 : Rx fail
232514921 : Rx: [00][FF][FF][FF][58][89][82][33]
232515171 : Rx fail
232515421 : Rx: [80][FF][FF][FF][0C][8E][83][33]
232515656 : Rx fail
232515906 : Rx: [80][FF][FF][FF][0C][8E][83][33]
232516156 : Rx: [80][FF][FF][FF][0C][8E][83][33]
232516406 : Rx: [00][FF][FF][FF][0C][8E][83][33]
232516640 : Rx: [00][FF][FF][FF][C0][92][84][33]
232516890 : Rx: [00][FF][FF][FF][C0][92][84][32]
232517140 : Rx: [00][FF][FF][FF][C0][92][84][32]
232517390 : Rx: [80][FF][FF][FF][C0][92][84][32]
232517625 : Rx fail
232517875 : Rx: [80][FF][FF][FF][8C][97][85][32]
232518125 : Rx: [80][FF][FF][FF][8C][97][85][32]
232518375 : Rx: [00][FF][FF][FF][8C][97][85][32]
232518609 : Rx fail
232518859 : Rx: [00][FF][FF][FF][58][9C][86][32]
232519109 : Rx: [00][FF][FF][FF][58][9C][86][32]
232519359 : Rx: [80][FF][FF][FF][58][9C][86][32]
232519609 : Rx: [80][FF][FF][FF][58][9C][86][32]
232519843 : Rx: [80][FF][FF][FF][58][9C][86][31]
232520093 : Rx: [80][FF][FF][FF][3D][A1][87][31]
232520343 : Rx: [03][FF][AE][FF][3D][A1][87][31]
232520593 : Rx fail
232520828 : Rx: [03][FF][AE][FF][3D][A1][87][30]
232521078 : Rx: [03][FF][AE][FF][3D][A1][87][30]
232521328 : Rx: [80][FF][FF][FF][3D][A6][88][30]
232521578 : Rx: [80][FF][FF][FF][3D][A6][88][30]
232521812 : Rx: [80][FF][FF][FF][3D][A6][88][30]
232522062 : Rx: [80][FF][FF][FF][3D][A6][88][30]
232522312 : Rx: [00][FF][FF][FF][3D][A6][88][30]
232522562 : Rx: [00][FF][FF][FF][3D][AB][89][30]
232522796 : Rx: [00][FF][FF][FF][3D][AB][89][30]
232523046 : Rx: [00][FF][FF][FF][3D][AB][89][30]
232523296 : Rx: [80][FF][FF][FF][3D][AB][89][30]
232523546 : Rx: [80][FF][FF][FF][3D][AB][89][30]
232523796 : Rx: [80][FF][FF][FF][3D][AB][89][30]
232524031 : Rx: [80][FF][FF][FF][3D][B0][8A][30]
232524281 : Rx: [00][FF][FF][FF][3D][B0][8A][30]
232524531 : Rx: [00][FF][FF][FF][3D][B0][8A][30]
232524781 : Rx: [00][FF][FF][FF][3D][B0][8A][30]
232525015 : Rx: [00][FF][FF][FF][3D][B0][8A][30]
232525265 : Rx: [80][FF][FF][FF][3D][B5][8B][30]
232525515 : Rx: [80][FF][FF][FF][3D][B5][8B][30]
232525765 : Rx: [80][FF][FF][FF][3D][B5][8B][30]
232526000 : Rx: [80][FF][FF][FF][3D][B5][8B][30]
232526250 : Rx: [00][FF][FF][FF][3D][B5][8B][30]
232526500 : Rx: [00][FF][FF][FF][3D][BA][8C][30]
232526750 : Rx: [00][FF][FF][FF][3D][BA][8C][30]
232526984 : Rx: [00][FF][FF][FF][3D][BA][8C][30]
232527234 : Rx: [80][FF][FF][FF][3D][BA][8C][30]
232527484 : Rx: [80][FF][FF][FF][3D][BA][8C][30]
232527734 : Rx: [80][FF][FF][FF][3D][BF][8D][30]
232527968 : Rx: [80][FF][FF][FF][3D][BF][8D][30]
232528218 : Rx: [00][FF][FF][FF][3D][BF][8D][30]
232528468 : Rx: [00][FF][FF][FF][3D][BF][8D][30]
232528718 : Rx: [00][FF][FF][FF][3D][BF][8D][30]
232528953 : Rx: [00][FF][FF][FF][3D][C4][8E][30]
232529203 : Rx: [80][FF][FF][FF][3D][C4][8E][30]
232529453 : Rx: [80][FF][FF][FF][3D][C4][8E][30]
232529703 : Rx: [80][FF][FF][FF][3D][C4][8E][30]
232529953 : Rx: [80][FF][FF][FF][3D][C4][8E][30]
232530187 : Rx: [00][FF][FF][FF][3D][C9][8F][30]
232530437 : Rx: [00][FF][FF][FF][3D][C9][8F][30]
232530687 : Rx: [00][FF][FF][FF][3D][C9][8F][30]
232530937 : Rx: [00][FF][FF][FF][3D][C9][8F][30]
232531171 : Rx: [80][FF][FF][FF][3D][C9][8F][30]
232531421 : Rx: [80][FF][FF][FF][3D][CE][90][30]
232531671 : Rx: [80][FF][FF][FF][3D][CE][90][30]
232531921 : Rx: [80][FF][FF][FF][3D][CE][90][30]
232532156 : Rx: [00][FF][FF][FF][3D][CE][90][30]
232532406 : Rx: [00][FF][FF][FF][3D][CE][90][30]
232532656 : Rx: [00][FF][FF][FF][3D][D3][91][30]
232532906 : Rx: [00][FF][FF][FF][3D][D3][91][30]
232533140 : Rx: [80][FF][FF][FF][3D][D3][91][30]
232533390 : Rx: [80][FF][FF][FF][3D][D3][91][30]
232533640 : Rx fail
232533890 : Rx fail
232534140 : Rx: [00][FF][FF][FF][3D][D8][92][30]
232534375 : Rx: [00][FF][FF][FF][3D][D8][92][30]
232534625 : Rx fail
