*** New Session***
03-11-2021 11:05:47
Product Name: hrm-Pro
236160750 : Rx: [04][00][8F][9A][34][9D][05][58]
236160984 : Rx: [04][00][8F][9A][34][9D][05][58]
236161234 : Rx: [04][00][34][9D][D3][9F][06][59]
236161484 : Rx: [04][00][34][9D][D3][9F][06][59]
236161734 : Rx: [84][00][D3][9F][74][A2][07][5A]
236161984 : Rx: [84][00][D3][9F][74][A2][07][5A]
236162218 : Rx: [84][00][D3][9F][74][A2][07][5A]
236162468 : Rx: [84][00][74][A2][12][A5][08][5B]
236162718 : Rx: [04][00][74][A2][12][A5][08][5B]
236162968 : Rx: [04][00][12][A5][C1][A7][09][5B]
236163203 : Rx fail
236163453 : Rx: [04][00][12][A5][C1][A7][09][5B]
236163703 : Rx: [84][00][C1][A7][7F][AA][0A][5A]
236163953 : Rx: [84][00][C1][A7][7F][AA][0A][5A]
236164187 : Rx: [84][00][C1][A7][7F][AA][0A][5A]
236164437 : Rx: [84][00][7F][AA][48][AD][0B][59]
236164687 : Rx: [04][00][7F][AA][48][AD][0B][59]
236164937 : Rx: [04][00][7F][AA][48][AD][0B][59]
236165171 : Rx fail
236165421 : Rx: [04][00][48][AD][1D][B0][0C][58]
236165671 : Rx: [84][00][48][AD][1D][B0][0C][58]
236165921 : Rx: [84][00][1D][B0][CE][B2][0D][57]
236166156 : Rx: [F9][42][23][05][CE][B2][0D][57]
236166406 : Rx: [84][00][1D][B0][CE][B2][0D][57]
236166656 : Rx: [04][00][CE][B2][9A][B5][0E][56]
236166906 : Rx: [04][00][CE][B2][9A][B5][0E][56]
236167156 : Rx: [04][00][9A][B5][48][B8][0F][58]
236167390 : Rx: [04][00][9A][B5][48][B8][0F][58]
236167640 : Rx: [84][00][9A][B5][48][B8][0F][58]
236167890 : Rx: [84][00][48][B8][FA][BA][10][58]
236168140 : Rx: [84][00][48][B8][FA][BA][10][58]
236168375 : Rx: [84][00][48][B8][FA][BA][10][58]
