*** New Session***
08-11-2021 15:03:59
Product Name: Hrm-Pro
281124906 : Rx: [04][00][0D][22][7B][25][BB][4B]
281125156 : Rx: [04][00][7B][25][C8][28][BC][4A]
281125406 : Rx fail
281125640 : Rx: [04][00][7B][25][C8][28][BC][4A]
281125890 : Rx fail
281126140 : Rx fail
281126390 : Rx: [84][00][C8][28][06][2C][BD][49]
281126640 : Rx: [84][00][06][2C][8C][2F][BE][49]
281126875 : Rx: [04][00][06][2C][8C][2F][BE][49]
281127125 : Rx: [04][00][06][2C][8C][2F][BE][49]
281127375 : Rx: [04][00][06][2C][8C][2F][BE][49]
281127625 : Rx: [04][00][8C][2F][12][33][BF][47]
281127859 : Rx: [F9][42][E5][06][12][33][BF][47]
281128109 : Rx fail
281128359 : Rx: [84][00][8C][2F][12][33][BF][47]
281128609 : Rx: [84][00][12][33][91][36][C0][45]
281128843 : Rx fail
281129093 : Rx fail
281129343 : Rx: [04][00][12][33][91][36][C0][45]
281129593 : Rx fail
281129828 : Rx: [84][00][91][36][27][3A][C1][45]
281130078 : Rx: [84][00][91][36][27][3A][C1][45]
281130328 : Rx: [84][00][27][3A][BB][3D][C2][44]
281130578 : Rx: [84][00][27][3A][BB][3D][C2][44]
281130812 : Rx: [04][00][27][3A][BB][3D][C2][44]
281131062 : Rx: [04][00][27][3A][BB][3D][C2][44]
281131312 : Rx: [04][00][BB][3D][47][41][C3][43]
281131562 : Rx: [04][00][BB][3D][47][41][C3][43]
281131796 : Rx: [84][00][BB][3D][47][41][C3][43]
281132046 : Rx: [84][00][47][41][AF][44][C4][44]
281132296 : Rx: [84][00][47][41][AF][44][C4][44]
281132546 : Rx: [84][00][47][41][AF][44][C4][44]
281132796 : Rx: [04][00][47][41][AF][44][C4][44]
281133031 : Rx: [04][00][AF][44][14][48][C5][45]
281133281 : Rx fail
281133531 : Rx: [04][00][AF][44][14][48][C5][45]
281133781 : Rx: [84][00][14][48][2D][4B][C6][46]
281134015 : Rx: [84][00][14][48][2D][4B][C6][46]
281134265 : Rx: [84][00][14][48][2D][4B][C6][46]
281134515 : Rx fail
281134765 : Rx: [04][00][2D][4B][39][4E][C7][49]
281135000 : Rx: [04][00][2D][4B][39][4E][C7][49]
281135250 : Rx fail
281135500 : Rx: [04][00][39][4E][29][51][C8][4C]
281135750 : Rx: [84][00][39][4E][29][51][C8][4C]
281135984 : Rx: [84][00][29][51][04][54][C9][4E]
281136234 : Rx: [84][00][29][51][04][54][C9][4E]
281136484 : Rx: [84][00][29][51][04][54][C9][4E]
281136734 : Rx: [03][42][47][13][C7][56][CA][51]
281136968 : Rx: [03][42][47][13][C7][56][CA][51]
281137218 : Rx fail
281137468 : Rx: [03][42][47][13][96][59][CB][53]
281137718 : Rx: [84][00][C7][56][96][59][CB][53]
