*** New Session***
08-11-2021 16:14:20
Product Name: Foreruner
285346015 : Rx: [80][FF][FF][FF][D2][3E][70][5A]
285346265 : Rx fail
285346515 : Rx fail
285346750 : Rx: [00][FF][FF][FF][7C][41][71][5A]
285347000 : Rx: [00][FF][FF][FF][26][44][72][5A]
285347250 : Rx fail
285347500 : Rx: [80][FF][FF][FF][26][44][72][5A]
285347734 : Rx: [80][FF][FF][FF][D0][46][73][5A]
285347984 : Rx: [80][FF][FF][FF][D0][46][73][5A]
285348234 : Rx: [80][FF][FF][FF][7A][49][74][5A]
285348484 : Rx: [00][FF][FF][FF][7A][49][74][5B]
285348734 : Rx fail
285348968 : Rx: [00][FF][FF][FF][1D][4C][75][5B]
285349218 : Rx: [00][FF][FF][FF][1D][4C][75][5B]
285349468 : Rx fail
285349718 : Rx fail
285349953 : Rx: [80][FF][FF][FF][C0][4E][76][5B]
285350203 : Rx: [80][FF][FF][FF][63][51][77][5B]
285350453 : Rx: [00][FF][FF][FF][63][51][77][5B]
285350703 : Rx: [00][FF][FF][FF][63][51][77][5B]
285350937 : Rx: [00][FF][FF][FF][06][54][78][5B]
285351187 : Rx: [00][FF][FF][FF][06][54][78][5B]
285351437 : Rx: [80][FF][FF][FF][06][54][78][5B]
285351687 : Rx: [80][FF][FF][FF][A9][56][79][5B]
285351921 : Rx fail
285352171 : Rx: [80][FF][FF][FF][4C][59][7A][5B]
285352421 : Rx: [00][FF][FF][FF][4C][59][7A][5B]
285352671 : Rx: [00][FF][FF][FF][4C][59][7A][5A]
285352921 : Rx: [00][FF][FF][FF][F6][5B][7B][5A]
285353156 : Rx: [00][FF][FF][FF][F6][5B][7B][5A]
285353406 : Rx: [80][FF][FF][FF][F6][5B][7B][5A]
285353656 : Rx: [80][FF][FF][FF][99][5E][7C][5B]
285353906 : Rx: [80][FF][FF][FF][99][5E][7C][5B]
285354140 : Rx: [80][FF][FF][FF][3C][61][7D][5B]
285354390 : Rx: [00][FF][FF][FF][3C][61][7D][5B]
285354640 : Rx: [00][FF][FF][FF][3C][61][7D][5B]
285354890 : Rx: [00][FF][FF][FF][DF][63][7E][5B]
285355125 : Rx: [00][FF][FF][FF][DF][63][7E][5B]
285355375 : Rx: [80][FF][FF][FF][DF][63][7E][5B]
285355625 : Rx: [80][FF][FF][FF][82][66][7F][5B]
285355875 : Rx: [80][FF][FF][FF][82][66][7F][5B]
285356109 : Rx: [80][FF][FF][FF][25][69][80][5B]
285356359 : Rx: [00][FF][FF][FF][25][69][80][5B]
285356609 : Rx: [00][FF][FF][FF][25][69][80][5B]
285356859 : Rx: [00][FF][FF][FF][C8][6B][81][5B]
285357093 : Rx: [00][FF][FF][FF][C8][6B][81][5B]
285357343 : Rx: [80][FF][FF][FF][C8][6B][81][5B]
285357593 : Rx: [80][FF][FF][FF][6B][6E][82][5B]
285357843 : Rx: [80][FF][FF][FF][6B][6E][82][5B]
285358078 : Rx: [80][FF][FF][FF][0E][71][83][5B]
285358328 : Rx: [09][FD][FF][FF][0E][71][83][5B]
285358578 : Rx fail
285358828 : Rx: [09][FD][FF][FF][A9][73][84][5C]
285359078 : Rx: [09][FD][FF][FF][A9][73][84][5C]
285359312 : Rx: [80][FF][FF][FF][A9][73][84][5C]
285359562 : Rx: [80][FF][FF][FF][44][76][85][5C]
285359812 : Rx: [80][FF][FF][FF][44][76][85][5C]
285360062 : Rx: [80][FF][FF][FF][DF][78][86][5C]
285360296 : Rx: [00][FF][FF][FF][DF][78][86][5C]
285360546 : Rx: [00][FF][FF][FF][DF][78][86][5B]
285360796 : Rx: [00][FF][FF][FF][82][7B][87][5B]
285361046 : Rx fail
285361281 : Rx: [80][FF][FF][FF][82][7B][87][5B]
285361531 : Rx fail
285361781 : Rx: [80][FF][FF][FF][25][7E][88][5B]
285362031 : Rx: [80][FF][FF][FF][C8][80][89][5B]
285362265 : Rx: [00][FF][FF][FF][C8][80][89][5B]
285362515 : Rx: [00][FF][FF][FF][C8][80][89][5B]
285362765 : Rx: [00][FF][FF][FF][6B][83][8A][5B]
285363015 : Rx: [00][FF][FF][FF][6B][83][8A][5B]
285363250 : Rx: [80][FF][FF][FF][6B][83][8A][5B]
285363500 : Rx: [80][FF][FF][FF][0E][86][8B][5B]
285363750 : Rx: [80][FF][FF][FF][0E][86][8B][5B]
285364000 : Rx: [80][FF][FF][FF][B1][88][8C][5B]
285364250 : Rx: [00][FF][FF][FF][B1][88][8C][5B]
285364484 : Rx: [00][FF][FF][FF][B1][88][8C][5B]
285364734 : Rx: [00][FF][FF][FF][54][8B][8D][5B]
285364984 : Rx: [00][FF][FF][FF][54][8B][8D][5B]
285365234 : Rx fail
285365468 : Rx: [80][FF][FF][FF][F7][8D][8E][5B]
285365718 : Rx fail
285365968 : Rx: [80][FF][FF][FF][9A][90][8F][5B]
285366218 : Rx fail
285366453 : Rx fail
285366703 : Rx: [00][FF][FF][FF][35][93][90][5C]
285366953 : Rx: [00][FF][FF][FF][35][93][90][5C]
285367203 : Rx: [80][FF][FF][FF][35][93][90][5C]
285367437 : Rx: [80][FF][FF][FF][D0][95][91][5C]
285367687 : Rx fail
285367937 : Rx: [80][FF][FF][FF][64][98][92][5D]
285368187 : Rx: [00][FF][FF][FF][64][98][92][5D]
285368421 : Rx: [00][FF][FF][FF][64][98][92][5D]
285368671 : Rx: [00][FF][FF][FF][F1][9A][93][5E]
285368921 : Rx fail
285369171 : Rx: [80][FF][FF][FF][F1][9A][93][5E]
285369406 : Rx fail
285369656 : Rx: [80][FF][FF][FF][7E][9D][94][60]
285369906 : Rx fail
285370156 : Rx: [00][FF][FF][FF][FE][9F][95][60]
285370406 : Rx: [00][FF][FF][FF][FE][9F][95][60]
285370640 : Rx: [00][FF][FF][FF][77][A2][96][61]
285370890 : Rx: [00][FF][FF][FF][77][A2][96][61]
285371140 : Rx: [80][FF][FF][FF][F0][A4][97][61]
285371390 : Rx: [80][FF][FF][FF][F0][A4][97][61]
285371625 : Rx: [80][FF][FF][FF][F0][A4][97][63]
285371875 : Rx: [80][FF][FF][FF][5C][A7][98][63]
285372125 : Rx: [00][FF][FF][FF][5C][A7][98][63]
285372375 : Rx: [00][FF][FF][FF][C8][A9][99][63]
285372609 : Rx: [00][FF][FF][FF][C8][A9][99][64]
285372859 : Rx: [00][FF][FF][FF][2E][AC][9A][64]
285373109 : Rx: [80][FF][FF][FF][2E][AC][9A][64]
285373359 : Rx: [80][FF][FF][FF][2E][AC][9A][64]
285373593 : Rx: [80][FF][FF][FF][94][AE][9B][64]
285373843 : Rx: [80][FF][FF][FF][94][AE][9B][64]
285374093 : Rx: [00][FF][FF][FF][FA][B0][9C][64]
285374343 : Rx fail
285374593 : Rx: [00][FF][FF][FF][FA][B0][9C][65]
285374828 : Rx: [00][FF][FF][FF][5A][B3][9D][65]
285375078 : Rx: [82][01][94][C8][5A][B3][9D][65]
285375328 : Rx: [82][01][94][C8][BA][B5][9E][65]
285375578 : Rx fail
285375812 : Rx: [82][01][94][C8][0E][B8][9F][67]
285376062 : Rx fail
285376312 : Rx fail
285376562 : Rx fail
285376796 : Rx: [00][FF][FF][FF][62][BA][A0][67]
285377046 : Rx: [80][FF][FF][FF][B6][BC][A1][67]
285377296 : Rx: [80][FF][FF][FF][B6][BC][A1][67]
285377546 : Rx: [80][FF][FF][FF][B6][BC][A1][68]
285377781 : Rx: [80][FF][FF][FF][04][BF][A2][68]
285378031 : Rx: [00][FF][FF][FF][04][BF][A2][68]
285378281 : Rx: [00][FF][FF][FF][52][C1][A3][68]
285378531 : Rx: [00][FF][FF][FF][52][C1][A3][68]
285378765 : Rx: [00][FF][FF][FF][A0][C3][A4][68]
285379015 : Rx fail
285379265 : Rx: [80][FF][FF][FF][A0][C3][A4][68]
285379515 : Rx: [80][FF][FF][FF][E9][C5][A5][69]
285379765 : Rx: [80][FF][FF][FF][E9][C5][A5][69]
