ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,1,50.17386116568654,Silent,53.04,89.00796812749009,-0.73
1,1,46.17914714243158,Static,96.12,86.47808764940234,-0.42
1,1,47.38319431450621,Dynamic,67.12,89.92828685258971,-0.63
2,5,52.64852228494672,Silent,80.25,104.75609756097563,-0.65
2,5,49.63804615604151,Static,78.75,111.04878048780489,-0.78
2,5,48.27739316110218,Dynamic,84.75,107.97560975609755,-0.7
3,8,73.17698866603105,Silent,93.5,126.75609756097562,-0.56
3,8,78.98603615939977,Static,111.25,117.36585365853657,-0.34
3,8,73.319959527255,Dynamic,61.75,118.41463414634146,-0.73
4,9,80.51550893669616,Silent,60.75,109.36585365853658,-0.47
4,9,76.47885939436613,Static,50.0,114.90243902439022,-0.77
4,9,73.29764220657873,Dynamic,55.0,114.26829268292684,-0.74
5,11,99.56997640308366,Silent,37.75,128.09756097560975,-0.76
5,11,99.98532035697161,Static,81.25,129.7317073170732,-0.37
5,11,95.01340929171405,Dynamic,118.75,128.73170731707322,-0.28
6,12,72.04733292389909,Silent,83.0,122.26829268292681,-0.56
6,12,74.04137810750105,Static,50.75,124.36585365853661,-0.99
6,12,78.75930343640329,Dynamic,38.5,118.73170731707316,-1.04
7,13,74.31349302622948,Silent,55.5,104.97560975609758,-0.55
7,13,79.49867243043609,Static,45.0,109.19512195121953,-0.66
7,13,76.91878052743849,Dynamic,40.5,106.53658536585364,-0.73
8,14,72.09206521461327,Silent,42.25,117.14634146341466,-1.07
8,14,72.31818910152114,Static,55.0,123.41463414634148,-0.93
8,14,74.58189450671878,Dynamic,42.75,127.2926829268293,-1.23
