ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,1,50.17388577102846,Stilhed,53.0,88.99601593625502,-0.7324930219854068
1,1,46.17908601498827,Statisk,96.08,86.46215139442226,-0.41926587613898825
1,1,47.38309279256894,Dynamisk,67.08,89.91633466135465,-0.6340674100892325
2,5,52.648108620104985,Stilhed,80.5,105.14634146341464,-0.6521519607864554
2,5,49.63511394523961,Statisk,79.0,111.41463414634148,-0.7820192430519225
2,5,48.277561939165004,Dynamisk,85.5,108.26829268292681,-0.7016459736112493
3,8,73.17406766294903,Stilhed,94.5,126.75609756097562,-0.5670056073865247
3,8,78.99586165800866,Statisk,114.0,117.9512195121951,-0.3417136653876003
3,8,73.3224624367078,Dynamisk,64.0,119.65853658536582,-0.7240011585727817
4,9,80.51259570471922,Stilhed,61.25,109.43902439024392,-0.4722682234371379
4,9,76.4885568532618,Statisk,50.0,115.09756097560972,-0.7721800824469586
4,9,73.29485601896955,Dynamisk,55.5,114.31707317073172,-0.7391390477794985
5,11,99.56425833328788,Stilhed,38.25,128.31707317073173,-0.7517075774495124
5,11,99.99074819536207,Statisk,82.5,129.92682926829272,-0.36286158876279573
5,11,95.01345668409253,Dynamisk,119.25,129.1707317073171,-0.286434172102512
6,12,72.04894607903314,Stilhed,84.75,122.29268292682926,-0.5928464524813701
6,12,74.05924309920894,Statisk,52.0,124.68292682926831,-0.9735323794242187
6,12,78.75984275566121,Dynamisk,38.75,119.17073170731706,-1.0428616503653123
7,13,74.31416218071386,Stilhed,55.75,105.00000000000001,-0.5504186155925767
7,13,79.49777661556156,Statisk,45.25,109.19512195121953,-0.6562949245449275
7,13,76.9247397379158,Dynamisk,40.75,106.56097560975608,-0.7272695919470008
8,14,72.0968929207851,Stilhed,43.25,119.58536585365853,-1.097999374170484
8,14,72.3273688695945,Statisk,55.25,123.90243902439026,-0.9334854326659867
8,14,74.5817306141434,Dynamisk,43.5,127.609756097561,-1.2190350685843128
