testperson;fase;intervention
1;1;Stilhed
1;2;Statisk
1;3;Dynamisk
2;1;Dynamisk
2;2;Stilhed
2;3;Statisk
3;1;Statisk
3;2;Dynamisk
3;3;Stilhed
4;1;Stilhed
4;2;Dynamisk
4;3;Statisk
5;1;Dynamisk
5;2;Statisk
5;3;Stilhed
6;1;Statisk
6;2;Dynamisk
6;3;Stilhed
7;1;Stilhed
7;2;Statisk
7;3;Dynamisk
8;1;Dynamisk
8;2;Stilhed
8;3;Statisk
9;1;Dynamisk
9;2;Statisk
9;3;Stilhed
10;1;Stilhed
10;2;Dynamisk
10;3;Statisk
11;1;Dynamisk
11;2;Stilhed
11;3;Statisk
12;1;Stilhed
12;2;Statisk
12;3;Dynamisk
13;1;Statisk
13;2;Stilhed
13;3;Dynamisk
14;1;Statisk
14;2;Dynamisk
14;3;Stilhed
