reg,point,diff
-0.686,-0.37,-0.31600000000000006
-0.407,-0.12,-0.287
-0.677,-0.25,-0.42700000000000005
-0.469,-0.47,0.0010000000000000009
-0.808,-0.37,-0.43800000000000006
-0.409,-0.18,-0.22899999999999998
-0.686,-0.43,-0.25600000000000006
-0.423,-0.41,-0.013000000000000012
-0.335,-0.14,-0.195
-0.623,-0.38,-0.243
-0.667,-0.28,-0.387
-0.441,-0.19,-0.251
-0.22,-0.09,-0.13
-0.779,-0.27,-0.509
-0.338,-0.16,-0.17800000000000002
-0.454,-0.41,-0.04400000000000004
-1.092,-0.47,-0.6220000000000001
-1.041,-0.51,-0.5309999999999999
-0.761,-0.29,-0.47100000000000003
-0.498,-0.17,-0.32799999999999996
-0.865,-0.3,-0.565
-0.741,-0.4,-0.34099999999999997
-1.088,-0.65,-0.43800000000000006
-0.819,-0.4,-0.41899999999999993
